"time","biomass","schedule","regime"
540.6,0.0492879694048962,"Unfished reference","Oscillating (resource_decrease=0.005)"
540.8,0.0502861957420637,"Unfished reference","Oscillating (resource_decrease=0.005)"
541,0.0542042345570061,"Unfished reference","Oscillating (resource_decrease=0.005)"
541.2,0.0612499975836559,"Unfished reference","Oscillating (resource_decrease=0.005)"
541.4,0.071063260985971,"Unfished reference","Oscillating (resource_decrease=0.005)"
541.6,0.082565809299169,"Unfished reference","Oscillating (resource_decrease=0.005)"
541.8,0.0940759773434949,"Unfished reference","Oscillating (resource_decrease=0.005)"
542,0.103668752529581,"Unfished reference","Oscillating (resource_decrease=0.005)"
542.2,0.109575534328453,"Unfished reference","Oscillating (resource_decrease=0.005)"
542.4,0.110671612888886,"Unfished reference","Oscillating (resource_decrease=0.005)"
542.6,0.107750925174046,"Unfished reference","Oscillating (resource_decrease=0.005)"
542.8,0.104241785600965,"Unfished reference","Oscillating (resource_decrease=0.005)"
543,0.103122143190741,"Unfished reference","Oscillating (resource_decrease=0.005)"
543.2,0.104652871130773,"Unfished reference","Oscillating (resource_decrease=0.005)"
543.4,0.107603112693103,"Unfished reference","Oscillating (resource_decrease=0.005)"
543.6,0.110483425968019,"Unfished reference","Oscillating (resource_decrease=0.005)"
543.8,0.11206135060917,"Unfished reference","Oscillating (resource_decrease=0.005)"
544,0.111557488777725,"Unfished reference","Oscillating (resource_decrease=0.005)"
544.2,0.108627745432982,"Unfished reference","Oscillating (resource_decrease=0.005)"
544.4,0.103418218775179,"Unfished reference","Oscillating (resource_decrease=0.005)"
544.6,0.0966329043850706,"Unfished reference","Oscillating (resource_decrease=0.005)"
544.8,0.0893029604000698,"Unfished reference","Oscillating (resource_decrease=0.005)"
545,0.0823149318829492,"Unfished reference","Oscillating (resource_decrease=0.005)"
545.2,0.0760510074665371,"Unfished reference","Oscillating (resource_decrease=0.005)"
545.4,0.0703971914363504,"Unfished reference","Oscillating (resource_decrease=0.005)"
545.6,0.0650799254011529,"Unfished reference","Oscillating (resource_decrease=0.005)"
545.8,0.0600154002380247,"Unfished reference","Oscillating (resource_decrease=0.005)"
546,0.0554196201796631,"Unfished reference","Oscillating (resource_decrease=0.005)"
546.2,0.0517450265148955,"Unfished reference","Oscillating (resource_decrease=0.005)"
546.4,0.0495826869694821,"Unfished reference","Oscillating (resource_decrease=0.005)"
546.6,0.0495735762359135,"Unfished reference","Oscillating (resource_decrease=0.005)"
546.8,0.0523041772847821,"Unfished reference","Oscillating (resource_decrease=0.005)"
547,0.0581352426962256,"Unfished reference","Oscillating (resource_decrease=0.005)"
547.2,0.0669561669127034,"Unfished reference","Oscillating (resource_decrease=0.005)"
547.4,0.077972229190302,"Unfished reference","Oscillating (resource_decrease=0.005)"
