"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
0.795739605657967,9.81269726735182e-06,3,0.4,"Peaks only",0.30499001996008,0.005,34,34
0.787227746586543,1.2107483970873e-05,3,0.4,"Troughs only",0.361676646706587,0.005,34,34
0.913283509653751,4.04573481441148e-06,0.5,0.6,"Peaks only",0.122155688622755,0.005,34,34
0.848704823707253,4.04766432622924e-06,0.5,0.6,"Troughs only",0.122155688622755,0.005,34,34
0.972115585215388,5.592609729671e-06,1,0.6,"Peaks only",0.203592814371258,0.005,34,34
0.834335129495886,6.71361642305157e-06,1,0.6,"Troughs only",0.203592814371258,0.005,34,34
1.00405752747409,8.24133628889842e-06,1.5,0.6,"Peaks only",0.285029940119761,0.005,34,34
0.861434006106918,9.39978041296325e-06,1.5,0.6,"Troughs only",0.285029940119761,0.005,34,34
0.925088404257788,1.1369874280308e-05,2,0.6,"Peaks only",0.377245508982036,0.005,34,34
0.829807313558366,1.43551166284185e-05,2,0.6,"Troughs only",0.445508982035928,0.005,34,34
0.869140324302787,1.2746851787333e-05,2.5,0.6,"Peaks only",0.417964071856287,0.005,34,34
0.779331735233808,1.61202147633205e-05,2.5,0.6,"Troughs only",0.50059880239521,0.005,34,34
0.830274734279484,1.41032675655736e-05,3,0.6,"Peaks only",0.45748502994012,0.005,34,34
0.747852844843519,1.74611616642681e-05,3,0.6,"Troughs only",0.54251497005988,0.005,34,34
0.963848249276062,4.37663374280393e-06,0.5,0.8,"Peaks only",0.162874251497006,0.005,34,34
0.838362636857836,5.314507106189e-06,0.5,0.8,"Troughs only",0.162874251497006,0.005,34,34
1.02484744811522,7.2487242197068e-06,1,0.8,"Peaks only",0.271457085828343,0.005,34,34
0.845607436201779,8.78858294398897e-06,1,0.8,"Troughs only",0.271457085828343,0.005,34,34
1.05953450463565,1.05752427325947e-05,1.5,0.8,"Peaks only",0.380039920159681,0.005,34,34
0.879576127666413,1.22079460124068e-05,1.5,0.8,"Troughs only",0.380039920159681,0.005,34,34
0.966992796766845,1.4605377639791e-05,2,0.8,"Peaks only",0.502994011976048,0.005,34,34
0.837092815629625,1.84199510669768e-05,2,0.8,"Troughs only",0.594011976047904,0.005,34,34
0.886180889863524,1.63347416374185e-05,2.5,0.8,"Peaks only",0.557285429141717,0.005,34,34
0.773451637076939,2.0614468449341e-05,2.5,0.8,"Troughs only",0.667465069860279,0.005,34,34
0.816402317003629,1.80442637068674e-05,3,0.8,"Peaks only",0.60998003992016,0.005,34,34
0.713753338554219,2.23287626794485e-05,3,0.8,"Troughs only",0.723353293413174,0.005,34,34
1.01127471845824,5.35946050836106e-06,0.5,1,"Peaks only",0.203592814371257,0.005,34,34
0.847509068049041,6.5808086242386e-06,0.5,1,"Troughs only",0.203592814371257,0.005,34,34
1.07183752107887,8.80354008648251e-06,1,1,"Peaks only",0.339321357285429,0.005,34,34
0.853860284839602,1.07733554332533e-05,1,1,"Troughs only",0.339321357285429,0.005,34,34
1.1097025566896,1.2794591119809e-05,1.5,1,"Peaks only",0.475049900199601,0.005,34,34
0.894004070565929,1.48561679716025e-05,1.5,1,"Troughs only",0.475049900199601,0.005,34,34
1.00295991345334,1.76627987000394e-05,2,1,"Peaks only",0.62874251497006,0.005,34,34
0.856460240283406,2.21962473882107e-05,2,1,"Troughs only",0.74251497005988,0.005,34,34
0.913165834960178,1.97103806315955e-05,2.5,1,"Peaks only",0.696606786427146,0.005,34,34
0.770489868532925,2.4781362297415e-05,2.5,1,"Troughs only",0.834331337325349,0.005,34,34
0.838742659133434,2.17295079723672e-05,3,1,"Peaks only",0.7624750499002,0.005,34,34
0.688366908446961,2.68171044453642e-05,3,1,"Troughs only",0.904191616766467,0.005,34,34
