"resource_decrease","capacity_mult","effort","spectral_radius","stable","hopf_period","bifurcation_type","error"
0.0811130830789687,1.94588771757639,0,0.761250163324103,TRUE,137.902647564667,"stable",NA
0.0811130830789687,2.71441761659491,0,0.761250163324108,TRUE,45.5293400311156,"stable",NA
0.0811130830789687,3.78647900941465,0,0.761250163324108,TRUE,111.123302361308,"stable",NA
0.0811130830789687,5.281951900505,0,0.761250163324109,TRUE,260.19909423701,"stable",NA
0.0811130830789687,7.36806299728077,0,0.76125016332411,TRUE,63.0502265259499,"stable",NA
0.0811130830789687,10.2780853280219,0,0.761250163324106,TRUE,47.3099260362098,"stable",NA
0.0811130830789687,14.3374232887377,0,0.761250163324113,TRUE,135.166756715157,"stable",NA
0.0811130830789687,20,0,0.761250163324101,TRUE,70.7294247007535,"stable",NA
0.151991108295293,1,0,0.761250163324106,TRUE,164.575450963493,"stable",NA
0.151991108295293,1.39495079396242,0,0.761250163324109,TRUE,165.810481221306,"stable",NA
0.151991108295293,1.94588771757639,0,0.761250163324108,TRUE,53.3571971469756,"stable",NA
0.151991108295293,2.71441761659491,0,0.761250163324108,TRUE,106.748638733941,"stable",NA
0.151991108295293,3.78647900941465,0,0.761250163324107,TRUE,46.5620885670596,"stable",NA
0.151991108295293,5.281951900505,0,0.761250163324109,TRUE,45.4251302080268,"stable",NA
0.151991108295293,7.36806299728077,0,0.761250163324106,TRUE,67.3656994198988,"stable",NA
0.151991108295293,10.2780853280219,0,0.761250163324108,TRUE,111.33967987958,"stable",NA
0.151991108295293,14.3374232887377,0,0.761250163324102,TRUE,63.0669974862889,"stable",NA
0.151991108295293,20,0,0.761250163324108,TRUE,370.639856520713,"stable",NA
0.28480358684358,1,0,0.761250163324108,TRUE,211.977456143925,"stable",NA
0.28480358684358,1.39495079396242,0,0.761250163324112,TRUE,54.2414003813748,"stable",NA
0.28480358684358,1.94588771757639,0,0.76125016332411,TRUE,70.8286310509612,"stable",NA
0.28480358684358,2.71441761659491,0,0.761250163324105,TRUE,176.166036166217,"stable",NA
0.28480358684358,3.78647900941465,0,0.761250163324108,TRUE,147.656752829929,"stable",NA
0.28480358684358,5.281951900505,0,0.761250163324108,TRUE,175.770147295062,"stable",NA
0.28480358684358,7.36806299728077,0,0.761250163324107,TRUE,57.1036499250175,"stable",NA
0.28480358684358,10.2780853280219,0,0.761250163324101,TRUE,75.7336066306258,"stable",NA
0.28480358684358,14.3374232887377,0,0.761250163324108,TRUE,48.2423676601221,"stable",NA
0.28480358684358,20,0,0.761250163324099,TRUE,37.2554143579507,"stable",NA
0.533669923120631,1,0,0.761250163324108,TRUE,147.161350925809,"stable",NA
0.533669923120631,1.39495079396242,0,0.76125016332411,TRUE,196.782417189283,"stable",NA
0.533669923120631,1.94588771757639,0,0.761250163324108,TRUE,88.3460454865645,"stable",NA
0.533669923120631,2.71441761659491,0,0.761250163324108,TRUE,82.8764550197493,"stable",NA
0.533669923120631,3.78647900941465,0,0.761250163324105,TRUE,44.2010122841177,"stable",NA
0.533669923120631,5.281951900505,0,0.761250163324107,TRUE,36.5272810909758,"stable",NA
0.533669923120631,7.36806299728077,0,0.761250163324107,TRUE,83.8703646217904,"stable",NA
0.533669923120631,10.2780853280219,0,0.761250163324105,TRUE,58.9037312099947,"stable",NA
0.533669923120631,14.3374232887377,0,0.761250163324111,TRUE,68.7639891964558,"stable",NA
0.533669923120631,20,0,0.761250163324112,TRUE,37.492629557827,"stable",NA
1,1,0,0.761250163324105,TRUE,85.5238857944775,"stable",NA
1,1.39495079396242,0,0.761250163324105,TRUE,69.7375307513375,"stable",NA
1,1.94588771757639,0,0.76125016332411,TRUE,76.1828672368318,"stable",NA
1,2.71441761659491,0,0.761250163324108,TRUE,148.02963418793,"stable",NA
1,3.78647900941465,0,0.761250163324111,TRUE,58.7888576561507,"stable",NA
1,5.281951900505,0,0.761250163324106,TRUE,43.5390373792942,"stable",NA
1,7.36806299728077,0,0.761250163324108,TRUE,42.8118030608368,"stable",NA
1,10.2780853280219,0,0.761250163324103,TRUE,388.767402903194,"stable",NA
1,14.3374232887377,0,0.761250163324108,TRUE,43.6869253695056,"stable",NA
1,20,0,0.761250163324107,TRUE,56.2198411104714,"stable",NA
