"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","background_level","resource_decrease","n_peaks","n_troughs"
0.816546711093654,9.68768414502731e-06,0.5,1.06666666666667,"Troughs only",0.296806387225549,0.1,0.005,34,34
1.06779384724091,1.56105466657323e-05,1.5,1.06666666666667,"Peaks only",0.559214903526281,0.1,0.005,34,34
0.86352509980555,1.73422602576805e-05,1.5,1.06666666666667,"Troughs only",0.559214903526281,0.1,0.005,34,34
0.802093927246052,2.37557475580967e-05,3,1.06666666666667,"Peaks only",0.837059214903526,0.1,0.005,34,34
0.649349914978039,2.85064313765965e-05,3,1.06666666666667,"Troughs only",0.974051896207585,0.1,0.005,34,34
0.560516327151343,3.01941050793417e-05,6,1.06666666666667,"Peaks only",1.0647371922821,0.1,0.005,34,34
0.560516327151343,3.038946749107e-05,6,1.06666666666667,"Troughs only",1.06666666666667,0.1,0.005,34,34
0.560516327151343,3.038946749107e-05,9,1.06666666666667,"Peaks only",1.06666666666667,0.1,0.005,34,34
0.560516327151343,3.038946749107e-05,9,1.06666666666667,"Troughs only",1.06666666666667,0.1,0.005,34,34
0.882916929771706,8.48555498247675e-06,0.1,1.93333333333333,"Peaks only",0.224417831004657,0.1,0.005,34,34
0.804791690289463,7.66494702231291e-06,0.1,1.93333333333333,"Troughs only",0.224417831004657,0.1,0.005,34,34
1.13272159904897,1.25410267963273e-05,0.5,1.93333333333333,"Peaks only",0.473253493013972,0.1,0.005,34,34
0.846826130907311,1.45783191493147e-05,0.5,1.93333333333333,"Troughs only",0.473253493013972,0.1,0.005,34,34
1.23085302782988,2.36539278785327e-05,1.5,1.93333333333333,"Peaks only",0.970924817032601,0.1,0.005,34,34
0.910029519000563,2.68320116693801e-05,1.5,1.93333333333333,"Troughs only",0.970924817032601,0.1,0.005,34,34
0.916849462858665,3.68469184171005e-05,3,1.93333333333333,"Peaks only",1.49787092481703,0.1,0.005,34,34
0.616984938175832,4.48340557802456e-05,3,1.93333333333333,"Troughs only",1.75768463073852,0.1,0.005,34,34
0.0582196525485441,4.7925831118443e-05,6,1.93333333333333,"Peaks only",1.92967398536261,0.1,0.005,34,34
0.0582196525485441,4.82359183335144e-05,6,1.93333333333333,"Troughs only",1.93333333333333,0.1,0.005,34,34
0.0582196525485441,4.82359183335144e-05,9,1.93333333333333,"Peaks only",1.93333333333333,0.1,0.005,34,34
0.0582196525485441,4.82359183335144e-05,9,1.93333333333333,"Troughs only",1.93333333333333,0.1,0.005,34,34
0.993425885314641,8.86711648890137e-06,0.1,2.8,"Peaks only",0.283233532934132,0.1,0.005,34,34
0.827494204225924,9.7350761155001e-06,0.1,2.8,"Troughs only",0.283233532934132,0.1,0.005,34,34
1.24280685523051,1.60357639956911e-05,0.5,2.8,"Peaks only",0.649700598802395,0.1,0.005,34,34
0.868355027740697,1.88997775697604e-05,0.5,2.8,"Troughs only",0.649700598802395,0.1,0.005,34,34
1.34136965865319,3.03769107805992e-05,1.5,2.8,"Peaks only",1.38263473053892,0.1,0.005,34,34
0.994320624931074,3.43058400308761e-05,1.5,2.8,"Troughs only",1.38263473053892,0.1,0.005,34,34
1.01465707500517,4.72630964419777e-05,3,2.8,"Peaks only",2.15868263473054,0.1,0.005,34,34
0.651357484580637,5.8121011513354e-05,3,2.8,"Troughs only",2.54131736526946,0.1,0.005,34,34
0.000382837404563923,6.20990124246917e-05,6,2.8,"Peaks only",2.79461077844311,0.1,0.005,34,34
0.000382837404563923,6.25008057822825e-05,6,2.8,"Troughs only",2.8,0.1,0.005,34,34
0.000382837404563923,6.25008057822825e-05,9,2.8,"Peaks only",2.8,0.1,0.005,34,34
0.000382837404563923,6.25008057822825e-05,9,2.8,"Troughs only",2.8,0.1,0.005,34,34
1.05619395710195,1.06521466870411e-05,0.1,3.66666666666667,"Peaks only",0.342049234863606,0.1,0.005,34,34
0.840640821803056,1.18634653509241e-05,0.1,3.66666666666667,"Troughs only",0.342049234863606,0.1,0.005,34,34
1.32661013375408,1.93083748374122e-05,0.5,3.66666666666667,"Peaks only",0.826147704590818,0.1,0.005,34,34
0.98331023454226,2.27098658490213e-05,0.5,3.66666666666667,"Troughs only",0.826147704590818,0.1,0.005,34,34
1.41773850810987,3.62424546916597e-05,1.5,3.66666666666667,"Peaks only",1.79434464404524,0.1,0.005,34,34
1.10601787290822,4.03404159180624e-05,1.5,3.66666666666667,"Troughs only",1.79434464404524,0.1,0.005,34,34
1.07182450196922,5.57602820001394e-05,3,3.66666666666667,"Peaks only",2.81949434464405,0.1,0.005,34,34
0.668121414497677,6.90086785331041e-05,3,3.66666666666667,"Troughs only",3.3249500998004,0.1,0.005,34,34
1.75295654066081e-05,7.31564419532856e-05,6,3.66666666666667,"Peaks only",3.65954757152362,0.1,0.005,34,34
1.75295654066081e-05,7.36339455783491e-05,6,3.66666666666667,"Troughs only",3.66666666666667,0.1,0.005,34,34
1.75295654066081e-05,7.36339455783491e-05,9,3.66666666666667,"Peaks only",3.66666666666667,0.1,0.005,34,34
1.75295654066081e-05,7.36339455783491e-05,9,3.66666666666667,"Troughs only",3.66666666666667,0.1,0.005,34,34
1.11187073181316,1.24686758450159e-05,0.1,4.53333333333333,"Peaks only",0.400864936793081,0.1,0.005,34,34
0.85466037771636,1.40440573537077e-05,0.1,4.53333333333333,"Troughs only",0.400864936793081,0.1,0.005,34,34
1.39323747804096,2.23746535637591e-05,0.5,4.53333333333333,"Peaks only",1.00259481037924,0.1,0.005,34,34
1.07981894507186,2.61125960557535e-05,0.5,4.53333333333333,"Troughs only",1.00259481037924,0.1,0.005,34,34
1.46716702734249,4.14937364572172e-05,1.5,4.53333333333333,"Peaks only",2.20605455755156,0.1,0.005,34,34
1.17696488780419,4.53367023086493e-05,1.5,4.53333333333333,"Troughs only",2.20605455755156,0.1,0.005,34,34
1.09262039729934,6.27842616417826e-05,3,4.53333333333333,"Peaks only",3.48030605455755,0.1,0.005,34,34
0.712544690571137,7.78395144876566e-05,3,4.53333333333333,"Troughs only",4.10858283433134,0.1,0.005,34,34
1.12332612434365e-05,8.16794516039943e-05,6,4.53333333333333,"Peaks only",4.52448436460413,0.1,0.005,34,34
1.12332612434365e-05,8.22154627046758e-05,6,4.53333333333333,"Troughs only",4.53333333333333,0.1,0.005,34,34
1.12332612434365e-05,8.22154627046758e-05,9,4.53333333333333,"Peaks only",4.53333333333333,0.1,0.005,34,34
1.12332612434365e-05,8.22154627046758e-05,9,4.53333333333333,"Troughs only",4.53333333333333,0.1,0.005,34,34
1.15953117932311,1.43767733023796e-05,0.1,5.4,"Peaks only",0.459680638722555,0.1,0.005,34,34
0.864095272746539,1.62665844754824e-05,0.1,5.4,"Troughs only",0.459680638722555,0.1,0.005,34,34
1.44599705473426,2.52810564867789e-05,0.5,5.4,"Peaks only",1.17904191616766,0.1,0.005,34,34
1.17370086612179,2.9204607496379e-05,0.5,5.4,"Troughs only",1.17904191616766,0.1,0.005,34,34
1.49069976113244,4.62592940107981e-05,1.5,5.4,"Peaks only",2.61776447105788,0.1,0.005,34,34
1.24261583889886,4.95700360304727e-05,1.5,5.4,"Troughs only",2.61776447105788,0.1,0.005,34,34
1.0981271971687,6.86914256569674e-05,3,5.4,"Peaks only",4.14111776447106,0.1,0.005,34,34
0.759870576454355,8.49169811112116e-05,3,5.4,"Troughs only",4.89221556886228,0.1,0.005,34,34
1.22761053449269e-05,8.80798549649993e-05,6,5.4,"Peaks only",5.38942115768463,0.1,0.005,34,34
1.22761053449269e-05,8.86599740004543e-05,6,5.4,"Troughs only",5.4,0.1,0.005,34,34
1.22761053449269e-05,8.86599740004543e-05,9,5.4,"Peaks only",5.4,0.1,0.005,34,34
1.22761053449269e-05,8.86599740004543e-05,9,5.4,"Troughs only",5.4,0.1,0.005,34,34
1.20144768436328,1.63076520858588e-05,0.1,6.26666666666667,"Peaks only",0.518496340652029,0.1,0.005,34,34
0.886555552739294,1.85134988451809e-05,0.1,6.26666666666667,"Troughs only",0.518496340652029,0.1,0.005,34,34
1.48807673857879,2.8076083921737e-05,0.5,6.26666666666667,"Peaks only",1.35548902195609,0.1,0.005,34,34
1.24652372074953,3.20663736721111e-05,0.5,6.26666666666667,"Troughs only",1.35548902195609,0.1,0.005,34,34
1.51464770021301,5.06906846109798e-05,1.5,6.26666666666667,"Peaks only",3.0294743845642,0.1,0.005,34,34
1.29181680161478,5.32354788434324e-05,1.5,6.26666666666667,"Troughs only",3.0294743845642,0.1,0.005,34,34
1.10024982236693,7.37503174832831e-05,3,6.26666666666667,"Peaks only",4.80192947438456,0.1,0.005,34,34
0.795707410868874,9.05825650913501e-05,3,6.26666666666667,"Troughs only",5.67584830339321,0.1,0.005,34,34
1.28869788434877e-05,9.26865453015997e-05,6,6.26666666666667,"Peaks only",6.25435795076514,0.1,0.005,34,34
1.28869788434877e-05,9.32986085927388e-05,6,6.26666666666667,"Troughs only",6.26666666666667,0.1,0.005,34,34
1.28869788434877e-05,9.32986085927388e-05,9,6.26666666666667,"Peaks only",6.26666666666667,0.1,0.005,34,34
1.28869788434877e-05,9.32986085927388e-05,9,6.26666666666667,"Troughs only",6.26666666666667,0.1,0.005,34,34
1.23902784785033,1.82506208611763e-05,0.1,7.13333333333333,"Peaks only",0.577312042581504,0.1,0.005,34,34
0.94289013082934,2.0776468965507e-05,0.1,7.13333333333333,"Troughs only",0.577312042581504,0.1,0.005,34,34
1.52433094164625,3.07881690080168e-05,0.5,7.13333333333333,"Peaks only",1.53193612774451,0.1,0.005,34,34
1.30492095771274,3.47591078873479e-05,0.5,7.13333333333333,"Troughs only",1.53193612774451,0.1,0.005,34,34
1.53623760323976,5.46598041692696e-05,1.5,7.13333333333333,"Peaks only",3.44118429807053,0.1,0.005,34,34
1.32848389467984,5.64765652611647e-05,1.5,7.13333333333333,"Troughs only",3.44118429807053,0.1,0.005,34,34
1.11124713786048,7.81482045337475e-05,3,7.13333333333333,"Peaks only",5.46274118429807,0.1,0.005,34,34
0.82180319530219,9.50946878801642e-05,3,7.13333333333333,"Troughs only",6.45948103792415,0.1,0.005,34,34
1.3370970784456e-05,9.57693386174823e-05,6,7.13333333333333,"Peaks only",7.11929474384564,0.1,0.005,34,34
1.3370970784456e-05,9.64030135112225e-05,6,7.13333333333333,"Troughs only",7.13333333333333,0.1,0.005,34,34
1.3370970784456e-05,9.64030135112225e-05,9,7.13333333333333,"Peaks only",7.13333333333333,0.1,0.005,34,34
1.3370970784456e-05,9.64030135112225e-05,9,7.13333333333333,"Troughs only",7.13333333333333,0.1,0.005,34,34
1.27102927836172,2.0232828988131e-05,0.1,8,"Peaks only",0.636127744510978,0.1,0.005,34,34
0.99277394716467,2.30528780333467e-05,0.1,8,"Troughs only",0.636127744510978,0.1,0.005,34,34
1.55404586390488,3.34400450919911e-05,0.5,8,"Peaks only",1.70838323353293,0.1,0.005,34,34
1.3522697316309,3.73290064568503e-05,0.5,8,"Troughs only",1.70838323353293,0.1,0.005,34,34
1.55816306697551,5.79069830385888e-05,1.5,8,"Peaks only",3.85289421157685,0.1,0.005,34,34
1.35973389463333,5.94013123999075e-05,1.5,8,"Troughs only",3.85289421157685,0.1,0.005,34,34
1.11913022367013,8.20118238931749e-05,3,8,"Peaks only",6.12355289421158,0.1,0.005,34,34
0.850688869505406,9.86286283766045e-05,3,8,"Troughs only",7.24311377245509,0.1,0.005,34,34
1.31027994425002e-05,9.75526403081277e-05,6,8,"Peaks only",7.98423153692615,0.1,0.005,34,34
1.31027994425002e-05,9.81991155325297e-05,6,8,"Troughs only",8,0.1,0.005,34,34
1.31027994425002e-05,9.81991155325297e-05,9,8,"Peaks only",8,0.1,0.005,34,34
1.31027994425002e-05,9.81991155325297e-05,9,8,"Troughs only",8,0.1,0.005,34,34
