"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","species"
0.533669923120631,3.78647900941465,1.69912606045461e-12,"settled",NA,"cod"
1,3.78647900941465,4.69232674223011e-13,"settled",NA,"cod"
0.001,5.281951900505,1.47071606388135e-10,"settled",NA,"cod"
0.00187381742286038,5.281951900505,7.39733221008941e-11,"settled",NA,"cod"
0.00351119173421513,5.281951900505,3.81692050038518e-11,"settled",NA,"cod"
0.00657933224657568,5.281951900505,2.00033312628132e-11,"settled",NA,"cod"
0.0123284673944207,5.281951900505,1.05734598660582e-11,"settled",NA,"cod"
0.0231012970008316,5.281951900505,5.60087264994641e-12,"settled",NA,"cod"
0.0432876128108306,5.281951900505,2.94311197117005e-12,"settled",NA,"cod"
0.0811130830789687,5.281951900505,1.49780725101138e-12,"settled",NA,"cod"
0.151991108295293,5.281951900505,6.9826185051776e-13,"settled",NA,"cod"
0.28480358684358,5.281951900505,2.66771372960335e-13,"settled",NA,"cod"
0.533669923120631,5.281951900505,7.75704374184649e-14,"settled",NA,"cod"
1,5.281951900505,2.52760586078875e-14,"settled",NA,"cod"
0.001,7.36806299728077,5.63906582252823e-10,"settled",NA,"cod"
0.00187381742286038,7.36806299728077,2.92728065147921e-10,"settled",NA,"cod"
0.00351119173421513,7.36806299728077,1.53927007527997e-10,"settled",NA,"cod"
0.00657933224657568,7.36806299728077,8.15553415374496e-11,"settled",NA,"cod"
0.0123284673944207,7.36806299728077,4.33316847169508e-11,"settled",NA,"cod"
0.0231012970008316,7.36806299728077,2.2928894661791e-11,"settled",NA,"cod"
0.0432876128108306,7.36806299728077,1.1893681354476e-11,"settled",NA,"cod"
0.0811130830789687,7.36806299728077,5.81511674519429e-12,"settled",NA,"cod"
0.151991108295293,7.36806299728077,2.45992560068639e-12,"settled",NA,"cod"
0.28480358684358,7.36806299728077,7.96703568363478e-13,"settled",NA,"cod"
0.533669923120631,7.36806299728077,2.2281510643788e-13,"settled",NA,"cod"
1,7.36806299728077,8.82783583564552e-14,"settled",NA,"cod"
0.001,10.2780853280219,8.26487008335786e-10,"settled",NA,"cod"
0.00187381742286038,10.2780853280219,4.31954691984988e-10,"settled",NA,"cod"
0.00351119173421513,10.2780853280219,2.28059740024259e-10,"settled",NA,"cod"
0.00657933224657568,10.2780853280219,1.21067810865666e-10,"settled",NA,"cod"
0.0123284673944207,10.2780853280219,6.42578652959902e-11,"settled",NA,"cod"
0.0231012970008316,10.2780853280219,3.37288010730755e-11,"settled",NA,"cod"
0.0432876128108306,10.2780853280219,1.70517529364679e-11,"settled",NA,"cod"
0.0811130830789687,10.2780853280219,7.80215798489105e-12,"settled",NA,"cod"
0.151991108295293,10.2780853280219,2.8811383356338e-12,"settled",NA,"cod"
0.28480358684358,10.2780853280219,8.12512186300069e-13,"settled",NA,"cod"
0.533669923120631,10.2780853280219,2.71475003496334e-13,"settled",NA,"cod"
1,10.2780853280219,1.09868222158314e-13,"settled",NA,"cod"
0.001,14.3374232887377,9.22675596282194e-10,"settled",NA,"cod"
0.00187381742286038,14.3374232887377,4.85347127283189e-10,"settled",NA,"cod"
0.00351119173421513,14.3374232887377,2.57198154515821e-10,"settled",NA,"cod"
0.00657933224657568,14.3374232887377,1.36599257896768e-10,"settled",NA,"cod"
0.0123284673944207,14.3374232887377,7.21665578060975e-11,"settled",NA,"cod"
0.0231012970008316,14.3374232887377,3.72710183279072e-11,"settled",NA,"cod"
0.0432876128108306,14.3374232887377,1.80256463947418e-11,"settled",NA,"cod"
0.0811130830789687,14.3374232887377,7.45257018243162e-12,"settled",NA,"cod"
0.151991108295293,14.3374232887377,2.3421399344117e-12,"settled",NA,"cod"
