"rel_amplitude","mean_yield","threshold_frac","threshold_bp","fish_level","schedule","mean_effort","background_level","effective_window","n_bursts","resource_decrease"
0.920178958151875,1.91021497634418e-06,0.45,3.37974721473825e-05,0.2,"Threshold (troughs)",0.0910776821685259,0,2.8,5,0.005
0.615685350111031,4.188104537049e-06,0.55,3.97164844932983e-05,0.2,"Threshold (peaks)",0.0899744733122613,0,2.3,6,0.005
0.926013995701842,3.22057756288367e-06,0.55,3.97164844932983e-05,0.2,"Threshold (troughs)",0.127033316350487,0,3.83999999999999,5,0.005
0.641360413823084,3.48731344160906e-06,0.65,4.35911712764265e-05,0.2,"Threshold (peaks)",0.0716996421234035,0,1.83333333333333,6,0.005
0.913115432736003,3.83216360444968e-06,0.65,4.35911712764265e-05,0.2,"Threshold (troughs)",0.141597523753154,0,4.23999999999999,5,0.005
0.675027471298575,2.41810806742732e-06,0.75,4.79822532650051e-05,0.2,"Threshold (peaks)",0.0470075330013438,0,1.2,6,0.005
0.894643532332351,4.44018197436101e-06,0.75,4.79822532650051e-05,0.2,"Threshold (troughs)",0.154395569819649,0,4.63999999999999,5,0.005
0.724200833499743,1.15529820197421e-06,0.85,5.48257820455267e-05,0.2,"Threshold (peaks)",0.0206371566267332,0,0.639999999999999,5,0.005
0.838648474508857,5.44745259469412e-06,0.85,5.48257820455267e-05,0.2,"Threshold (troughs)",0.172772911707706,0,4.29999999999999,6,0.005
0.765895293555361,3.24057053027119e-07,0.95,5.99760473436409e-05,0.2,"Threshold (peaks)",0.0054747292747852,0,0,0,0.005
0.757810953246427,6.88525084542575e-06,0.95,5.99760473436409e-05,0.2,"Threshold (troughs)",0.199831087247275,0,30,1,0.005
0.695075037443426,1.28478463862519e-05,0.05,1.63468270440339e-05,0.4,"Threshold (peaks)",0.382145779642919,0,30,1,0.005
0.839474796896676,6.35560276903809e-07,0.05,1.63468270440339e-05,0.4,"Threshold (troughs)",0.0409041283779535,0,0.679999999999999,5,0.005
0.653515213989279,1.24062835452036e-05,0.15,1.81778376554505e-05,0.4,"Threshold (peaks)",0.36017979602834,0,4.43333333333333,6,0.005
0.88300415631838,1.08588656024436e-06,0.15,1.81778376554505e-05,0.4,"Threshold (troughs)",0.0703647265508506,0,1.08,5,0.005
0.561116032315905,1.18045888689809e-05,0.25,2.16701480727288e-05,0.4,"Threshold (peaks)",0.326318646031928,0,4.03333333333333,6,0.005
0.944151407167655,1.66848841604357e-06,0.25,2.16701480727288e-05,0.4,"Threshold (troughs)",0.104506664881318,0,1.6,5,0.005
0.425972297294136,1.03303581358412e-05,0.35,2.71791058548242e-05,0.4,"Threshold (peaks)",0.274787049183986,0,3.43333333333333,6,0.005
0.998429479522855,2.49824241016844e-06,0.35,2.71791058548242e-05,0.4,"Threshold (troughs)",0.14439225477303,0,2.16,5,0.005
0.0277419567331747,4.46133770226915e-06,0.45,3.37974721473825e-05,0.4,"Threshold (peaks)",0.134302410564662,0,0.799999999999999,1,0.005
1.04945486925412,4.51329998271363e-06,0.45,3.37974721473825e-05,0.4,"Threshold (troughs)",0.203300443245939,0,3.12,5,0.005
0.414811445347326,4.97798839809423e-06,0.55,3.97164844932983e-05,0.4,"Threshold (peaks)",0.118808536400503,0,1.88,5,0.005
1.05195432886567,6.20024546930699e-06,0.55,3.97164844932983e-05,0.4,"Threshold (troughs)",0.256772381914277,0,3.87999999999999,5,0.005
0.525777145237647,4.44120221514091e-06,0.65,4.35911712764265e-05,0.4,"Threshold (peaks)",0.0981069919183003,0,1.3,6,0.005
1.04389241145318,6.92010708426402e-06,0.65,4.35911712764265e-05,0.4,"Threshold (troughs)",0.271413135599126,0,4.07999999999999,5,0.005
0.613458661584337,3.84284115033455e-06,0.75,4.79822532650051e-05,0.4,"Threshold (peaks)",0.0782602622833353,0,0.999999999999999,6,0.005
1.01745189477585,8.00173777979535e-06,0.75,4.79822532650051e-05,0.4,"Threshold (troughs)",0.289551873505477,0,3.63333333333333,6,0.005
0.705442412688541,1.52698225223187e-06,0.85,5.48257820455267e-05,0.4,"Threshold (peaks)",0.0278203712071456,0,0.559999999999999,5,0.005
0.733443181887872,1.31237068815113e-05,0.85,5.48257820455267e-05,0.4,"Threshold (troughs)",0.398643391357218,0,30,1,0.005
0.759855126708192,4.62911903699806e-07,0.95,5.99760473436409e-05,0.4,"Threshold (peaks)",0.00787574986696882,0,0,0,0.005
0.730470356731209,1.31815985241986e-05,0.95,5.99760473436409e-05,0.4,"Threshold (troughs)",0.399996412608167,0,30,1,0.005
0.650630285767532,1.85536407048442e-05,0.05,1.63468270440339e-05,0.6,"Threshold (peaks)",0.579622167631738,0,30,1,0.005
0.881858069535916,1.11627425272924e-06,0.05,1.63468270440339e-05,0.6,"Threshold (troughs)",0.0754908292715108,0,0.799999999999999,5,0.005
0.598701277904593,1.80228836416259e-05,0.15,1.81778376554505e-05,0.6,"Threshold (peaks)",0.555679094663214,0,4.83333333333333,6,0.005
0.949579150189624,1.69269345134433e-06,0.15,1.81778376554505e-05,0.6,"Threshold (troughs)",0.11567288678614,0,1.16,5,0.005
