"resource_decrease","capacity_mult","rel_amplitude","perturbed_verdict","error","lambda"
1,1.94588771757639,1.2209371540373e-07,"settled",NA,1.95
0.001,2.71441761659491,2.00790187349418e-07,"settled",NA,1.95
0.00187381742286038,2.71441761659491,2.19052070512203e-07,"settled",NA,1.95
0.00351119173421513,2.71441761659491,2.23696269255729e-07,"settled",NA,1.95
0.00657933224657568,2.71441761659491,2.24249096354778e-07,"settled",NA,1.95
0.0123284673944207,2.71441761659491,2.24274587802997e-07,"settled",NA,1.95
0.0231012970008316,2.71441761659491,2.24274888018329e-07,"settled",NA,1.95
0.0432876128108306,2.71441761659491,2.24274890844458e-07,"settled",NA,1.95
0.0811130830789687,2.71441761659491,2.24274891805413e-07,"settled",NA,1.95
0.151991108295293,2.71441761659491,2.24274892334617e-07,"settled",NA,1.95
0.28480358684358,2.71441761659491,2.24274892453055e-07,"settled",NA,1.95
0.533669923120631,2.71441761659491,2.24274892644184e-07,"settled",NA,1.95
1,2.71441761659491,2.24274892737745e-07,"settled",NA,1.95
0.001,3.78647900941465,3.34052957399458e-07,"settled",NA,1.95
0.00187381742286038,3.78647900941465,3.5952739029064e-07,"settled",NA,1.95
0.00351119173421513,3.78647900941465,3.66005818085912e-07,"settled",NA,1.95
0.00657933224657568,3.78647900941465,3.66776983279708e-07,"settled",NA,1.95
0.0123284673944207,3.78647900941465,3.66812621429788e-07,"settled",NA,1.95
0.0231012970008316,3.78647900941465,3.66813135142608e-07,"settled",NA,1.95
0.0432876128108306,3.78647900941465,3.66813141469885e-07,"settled",NA,1.95
0.0811130830789687,3.78647900941465,3.66813140233814e-07,"settled",NA,1.95
0.151991108295293,3.78647900941465,3.66813139707717e-07,"settled",NA,1.95
0.28480358684358,3.78647900941465,3.66813139491182e-07,"settled",NA,1.95
0.533669923120631,3.78647900941465,3.6681313930388e-07,"settled",NA,1.95
1,3.78647900941465,3.66813139205661e-07,"settled",NA,1.95
0.001,5.281951900505,5.19948203957713e-07,"settled",NA,1.95
0.00187381742286038,5.281951900505,5.55483798181707e-07,"settled",NA,1.95
0.00351119173421513,5.281951900505,5.64520885793815e-07,"settled",NA,1.95
0.00657933224657568,5.281951900505,5.65596641642359e-07,"settled",NA,1.95
0.0123284673944207,5.281951900505,5.65646329290955e-07,"settled",NA,1.95
0.0231012970008316,5.281951900505,5.65647077943844e-07,"settled",NA,1.95
0.0432876128108306,5.281951900505,5.65647084516334e-07,"settled",NA,1.95
0.0811130830789687,5.281951900505,5.65647085409306e-07,"settled",NA,1.95
0.151991108295293,5.281951900505,5.6564708603292e-07,"settled",NA,1.95
0.28480358684358,5.281951900505,5.6564708636615e-07,"settled",NA,1.95
0.533669923120631,5.281951900505,5.65647086509686e-07,"settled",NA,1.95
1,5.281951900505,5.65647086435016e-07,"settled",NA,1.95
0.001,7.36806299728077,7.79263386185324e-07,"settled",NA,1.95
0.00187381742286038,7.36806299728077,8.28833806940427e-07,"settled",NA,1.95
0.00351119173421513,7.36806299728077,8.41440115041698e-07,"settled",NA,1.95
0.00657933224657568,7.36806299728077,8.42940752799073e-07,"settled",NA,1.95
0.0123284673944207,7.36806299728077,8.43010112420637e-07,"settled",NA,1.95
0.0231012970008316,7.36806299728077,8.43011061477586e-07,"settled",NA,1.95
0.0432876128108306,7.36806299728077,8.4301107601142e-07,"settled",NA,1.95
0.0811130830789687,7.36806299728077,8.43011079500004e-07,"settled",NA,1.95
0.151991108295293,7.36806299728077,8.43011081317739e-07,"settled",NA,1.95
0.28480358684358,7.36806299728077,8.43011082334058e-07,"settled",NA,1.95
0.533669923120631,7.36806299728077,8.43011082725934e-07,"settled",NA,1.95
1,7.36806299728077,8.43011082969746e-07,"settled",NA,1.95
0.001,10.2780853280219,1.14099620168082e-06,"oscillating",NA,1.95
0.00187381742286038,10.2780853280219,1.21014453887195e-06,"oscillating",NA,1.95
0.00351119173421513,10.2780853280219,1.22772973273397e-06,"oscillating",NA,1.95
0.00657933224657568,10.2780853280219,1.22982305301239e-06,"oscillating",NA,1.95
0.0123284673944207,10.2780853280219,1.2299198161512e-06,"oscillating",NA,1.95
0.0231012970008316,10.2780853280219,1.22992122262537e-06,"oscillating",NA,1.95
0.0432876128108306,10.2780853280219,1.22992124341093e-06,"oscillating",NA,1.95
0.0811130830789687,10.2780853280219,1.22992124814442e-06,"oscillating",NA,1.95
0.151991108295293,10.2780853280219,1.22992125071933e-06,"oscillating",NA,1.95
0.28480358684358,10.2780853280219,1.22992125214996e-06,"oscillating",NA,1.95
0.533669923120631,10.2780853280219,1.22992125276763e-06,"oscillating",NA,1.95
1,10.2780853280219,1.22992125310319e-06,"oscillating",NA,1.95
0.001,14.3374232887377,1.64559740803736e-06,"oscillating",NA,1.95
0.00187381742286038,14.3374232887377,1.74205601261783e-06,"oscillating",NA,1.95
0.00351119173421513,14.3374232887377,1.76658654054825e-06,"oscillating",NA,1.95
0.00657933224657568,14.3374232887377,1.76950664302259e-06,"oscillating",NA,1.95
0.0123284673944207,14.3374232887377,1.76964162477347e-06,"oscillating",NA,1.95
0.0231012970008316,14.3374232887377,1.769643448522e-06,"oscillating",NA,1.95
0.0432876128108306,14.3374232887377,1.76964347300622e-06,"oscillating",NA,1.95
0.0811130830789687,14.3374232887377,1.76964348280325e-06,"oscillating",NA,1.95
0.151991108295293,14.3374232887377,1.76964348804691e-06,"oscillating",NA,1.95
0.28480358684358,14.3374232887377,1.76964349074877e-06,"oscillating",NA,1.95
0.533669923120631,14.3374232887377,1.76964349197202e-06,"oscillating",NA,1.95
1,14.3374232887377,1.7696434925002e-06,"oscillating",NA,1.95
0.001,20,2.34949465438322e-06,"oscillating",NA,1.95
0.00187381742286038,20,2.48404981218765e-06,"oscillating",NA,1.95
0.00351119173421513,20,2.51826876845449e-06,"oscillating",NA,1.95
0.00657933224657568,20,2.52234222405389e-06,"oscillating",NA,1.95
0.0123284673944207,20,2.52253053050447e-06,"oscillating",NA,1.95
0.0231012970008316,20,2.52253315484502e-06,"oscillating",NA,1.95
0.0432876128108306,20,2.52253319036058e-06,"oscillating",NA,1.95
0.0811130830789687,20,2.52253320953264e-06,"oscillating",NA,1.95
0.151991108295293,20,2.5225332194769e-06,"oscillating",NA,1.95
0.28480358684358,20,2.52253322454536e-06,"oscillating",NA,1.95
0.533669923120631,20,2.52253322703142e-06,"oscillating",NA,1.95
1,20,2.52253322824513e-06,"oscillating",NA,1.95
0.001,1,8.95582418583273e-09,"settled",NA,2
0.00187381742286038,1,3.88920657131152e-09,"settled",NA,2
0.00351119173421513,1,2.48500016251348e-09,"settled",NA,2
0.00657933224657568,1,2.30117451877022e-09,"settled",NA,2
0.0123284673944207,1,2.29178655983376e-09,"settled",NA,2
0.0231012970008316,1,2.29162172940012e-09,"settled",NA,2
0.0432876128108306,1,2.29163057650245e-09,"settled",NA,2
0.0811130830789687,1,2.29163073313286e-09,"settled",NA,2
0.151991108295293,1,2.29163073238362e-09,"settled",NA,2
0.28480358684358,1,2.29163089001443e-09,"settled",NA,2
0.533669923120631,1,2.291630889802e-09,"settled",NA,2
1,1,2.29163088968998e-09,"settled",NA,2
0.001,1.39495079396242,1.85103551806451e-08,"settled",NA,2
0.00187381742286038,1.39495079396242,2.55780303204807e-08,"settled",NA,2
0.00351119173421513,1.39495079396242,2.75368443850328e-08,"settled",NA,2
0.00657933224657568,1.39495079396242,2.77932903498426e-08,"settled",NA,2
0.0123284673944207,1.39495079396242,2.78063703694956e-08,"settled",NA,2
0.0231012970008316,1.39495079396242,2.78065978519945e-08,"settled",NA,2
0.0432876128108306,1.39495079396242,2.78065981241079e-08,"settled",NA,2
0.0811130830789687,1.39495079396242,2.78065979423817e-08,"settled",NA,2
0.151991108295293,1.39495079396242,2.78065977716693e-08,"settled",NA,2
0.28480358684358,1.39495079396242,2.78065977649067e-08,"settled",NA,2
0.533669923120631,1.39495079396242,2.78065979193414e-08,"settled",NA,2
1,1.39495079396242,2.7806597759415e-08,"settled",NA,2
0.001,1.94588771757639,5.68243260549906e-08,"settled",NA,2
0.00187381742286038,1.94588771757639,6.66833891702448e-08,"settled",NA,2
0.00351119173421513,1.94588771757639,6.94158298448792e-08,"settled",NA,2
0.00657933224657568,1.94588771757639,6.97735485088649e-08,"settled",NA,2
