"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","theta","interaction_resource","knife_edge_size"
1,0.312679672652526,0.307967625553766,0.00714553125336173,0.305534141399164,0.0178776275356219,0.0272654352931195,1,3,5
3,0.25815902178317,0.249960150985924,0.0037765753324979,0.254382446450672,0.0437293810654467,0.0475493374024304,1,3,5
5,0.21527101594315,0.204617068387989,0.00221590191732272,0.213055114025827,0.0675936081814234,0.0765260570343618,1,3,5
9,0.17060737116066,0.133884602436888,0.00110362053804879,0.169503750622612,0.116039736881932,0.438883244342838,1,3,5
15,0.231223099032167,0.0723645687353172,0.000736678764503963,0.230486420267663,0.100365351208417,1.19752994900796,1,3,5
20,0.237941025405092,0.0462336034020217,0.000454015661747175,0.237487009743345,0.104456848779179,1.46510286821754,1,3,5
25,0.229457913986216,0.0362278620427665,0.000257227815198611,0.229200686171018,0.104491773905771,1.54561334838439,1,3,5
30,0.20108375594578,0.0330230849755356,0.000136155343652757,0.200947600602127,0.109317174813825,1.54691071633201,1,3,5
50,0.126124266638426,0.00620603986575833,0.00010436211707997,0.126019904521346,0.183153110877972,1.86234711101101,1,3,5
100,0.0475763677844828,0.0138901034587106,6.26104739537717e-05,0.0475137573105291,0.432221854417425,1.34247748859131,1,3,5
1,0.317814275551415,0.313709852762535,0.00779706183984539,0.310017213711569,0.0124982745336066,0.0241711908393801,1,3,7
3,0.276020262701284,0.270918417507453,0.00490121398694761,0.271119048714337,0.0291094632804979,0.0317654059909823,1,3,7
5,0.241560202194895,0.234540889527752,0.00329726924024676,0.238262932954649,0.041439863788875,0.0429091226308332,1,3,7
9,0.196465528009558,0.190449768121226,0.00177600067577335,0.194689527333785,0.0640281653427558,0.0522587803383579,1,3,7
15,0.162009289915441,0.150812794131772,0.000939873430286741,0.161069416485154,0.0972977002112736,0.169294418508721,1,3,7
20,0.150658401152922,0.122369551517321,0.000645162985057661,0.150013238167864,0.117013962496902,0.339545475367062,1,3,7
25,0.153165032166733,0.0992193813139968,0.000481296541563183,0.15268373562517,0.121000761024415,0.605923662246249,1,3,7
30,0.159090219432879,0.0829796771594818,0.000388531585325034,0.158701687847554,0.122280969706787,0.81322161607447,1,3,7
50,0.159128771261344,0.0584541827912751,0.000175133980319502,0.158953637281025,0.13282548156358,1.10426502340457,1,3,7
100,0.126001572498479,0.0319277096050409,5.66557046080032e-05,0.125944916793871,0.183938628435423,1.35410164419756,1,3,7
1,0.324727602354604,0.320715459733379,0.00853523766551064,0.316192364689093,0.00853523766551064,0.0229081849590483,1,3,10
3,0.2986048033455,0.294082214894204,0.00646487357891248,0.292139929766588,0.0193946207367374,0.0267294055644939,1,3,10
5,0.278599334179703,0.273400270761738,0.00520339355586259,0.27339594062384,0.026016967779313,0.0302233099280264,1,3,10
9,0.251743135918504,0.245194559971918,0.00377968852830717,0.247963447390197,0.0340171967547645,0.0366815652401818,1,3,10
15,0.229612097334115,0.222970413421832,0.00272595566992702,0.226886141664188,0.0408893350489053,0.0390663469991799,1,3,10
20,0.219056213433622,0.21380411775451,0.00222941007254558,0.216826803361077,0.0445882014509116,0.0345599005856784,1,3,10
25,0.212046463604252,0.208572554802998,0.00189188519596099,0.210154578408291,0.0472971298990248,0.0279773220456451,1,3,10
30,0.207072063504501,0.205293617536628,0.00164575764860277,0.205426305855899,0.0493727294580831,0.0214075683785451,1,3,10
50,0.196250474265773,0.194001933697214,0.00108879302182356,0.19516168124395,0.0544396510911779,0.0304039416463348,1,3,10
100,0.187147747863222,0.184378992553976,0.000595618787952466,0.18655212907527,0.0595618787952465,0.044472772410816,1,3,10
1,0.727759723440446,0.721255275289209,0.0098474747611147,0.717912248679331,0.0192582455528113,0.013321412541691,1,5,3
3,0.701235578237904,0.692321438408035,0.00642944374334412,0.694806134494559,0.0431070022031061,0.0184834018893159,1,5,3
5,0.664183622885633,0.645754608965527,0.00426044593913068,0.659923176946503,0.055842095209424,0.0395927614345353,1,5,3
9,0.572454675022654,0.522056480391434,0.00186501997583779,0.570589655046817,0.0650998115286073,0.144152989737293,1,5,3
15,0.434356091293283,0.326067660423259,0.000514397593001092,0.433841693700282,0.0652389134289099,0.450510706475735,1,5,3
20,0.347620195594843,0.182411798899913,0.000176842537966555,0.347443353056877,0.068372176138585,0.876222028564213,1,5,3
25,0.2877976539744,0.0176406854770843,0.000153332134582116,0.287644321839818,0.099929936890765,1.84495293882175,1,5,3
30,0.267236542189143,0.033437375704695,9.61825990201485e-05,0.267140359590123,0.106139242052594,1.70614197610509,1,5,3
50,0.234510708873004,0.0016223377698076,3.50092419676017e-05,0.234475699631037,0.114721945157222,1.98392187716841,1,5,3
100,0.210674533951304,0.00176581290301118,1.39891922135008e-05,0.210660544759091,0.170625014285279,1.98229197883025,1,5,3
1,0.726580634138465,0.721220681479154,0.0102804255219843,0.716300208616481,0.0154564297029463,0.0115257244406983,1,5,5
3,0.703352356922367,0.69548526075812,0.00731007655763102,0.696042280364735,0.0363777635090298,0.0164132344380704,1,5,5
5,0.674985781487798,0.658968294619801,0.00533031911242363,0.669655462375374,0.0490704613748132,0.0330909655051282,1,5,5
9,0.61121537558683,0.575481514441368,0.00296027009453971,0.60825510549229,0.0615183582864175,0.0924967433111575,1,5,5
15,0.517405384042306,0.450082540194955,0.00130796494017667,0.516097419102129,0.0662558421880955,0.228403194650893,1,5,5
20,0.452096651401433,0.359428529943099,0.000691754989175701,0.451404896412257,0.0660120827591781,0.374871373585889,1,5,5
25,0.400774938244843,0.283974288263137,0.000379996431617683,0.400394941813226,0.0650225606658502,0.541050242698001,1,5,5
30,0.362093006834076,0.223970453527768,0.000217399073113937,0.361875607760962,0.064342723914723,0.714507020960022,1,5,5
50,0.285303119884802,0.0558790115383086,3.60408077443731e-05,0.285267079077058,0.0832198638744741,1.54388413354715,1,5,5
100,0.254415916131908,0.00369745797118419,1.85411798572597e-05,0.254397374952051,0.0979914303668475,1.96493566185994,1,5,5
1,0.727143387062591,0.721859091171392,0.0105978185175844,0.716545568545006,0.0133012037126158,0.011348569598765,1,5,7
3,0.707315003448805,0.699936792609941,0.00799701321964793,0.699317990229157,0.0319274734718079,0.0152493145990388,1,5,7
5,0.684795835718468,0.670883369610727,0.00620445921364409,0.678591376504823,0.0438484258335179,0.0276763141199931,1,5,7
9,0.637042963559207,0.610856542726234,0.00395094703944544,0.633092016519762,0.0569493013506782,0.062724604306386,1,5,7
15,0.569588790813008,0.522199482932047,0.00220581953151977,0.567382971281489,0.0644244296095811,0.139903760458069,1,5,7
20,0.521705575203458,0.458195060208635,0.00144054838759141,0.520265026815867,0.0662675412682195,0.214862085938906,1,5,7
25,0.482004555129085,0.405160197479645,0.00097982698775647,0.481024728141329,0.0665965567580376,0.291265236029782,1,5,7
30,0.449435272050811,0.360094465213127,0.000688921520453499,0.448746350530357,0.0663182431483333,0.367902235543185,1,5,7
50,0.368971753628591,0.243489903856392,0.000215280432317804,0.368756473196273,0.064449842479789,0.645070469377162,1,5,7
100,0.306119188453996,0.143659690042988,3.16398989413466e-05,0.306087548555055,0.0640282588372249,1.019530671875,1,5,7
1,0.337456615628484,0.0176654688256666,0.0139447476058736,0.32351186802261,0.0139447476058736,1.89176380156911,0.7,0.3,10
3,0.286581604401007,0.0128336994575543,0.00983585717066998,0.276745747230337,0.0295075715120099,1.91483373461102,0.7,0.3,10
5,0.263104655225345,0.0105463135026002,0.00733411091780872,0.255770544307536,0.0366705545890436,1.93154129500443,0.7,0.3,10
9,0.219090463758738,0.00818873204215354,0.00485688620924566,0.214233577549492,0.043711975883211,1.93206367209332,0.7,0.3,10
15,0.166135744936719,0.00738893673327314,0.00381252162812803,0.162323223308591,0.0571878244219205,1.91950882186759,0.7,0.3,10
20,0.137394826638988,0.00746998228690469,0.00316295164378321,0.134231874995204,0.0632590328756641,1.90468590360615,0.7,0.3,10
25,0.118828872332088,0.00674386481268181,0.00255312648676792,0.11627574584532,0.0638281621691981,1.90277938937685,0.7,0.3,10
30,0.106448531088252,0.00681039088897702,0.00208395408280943,0.104364577005442,0.0625186224842829,1.89284567595906,0.7,0.3,10
50,0.0828081204529235,0.00658389357918246,0.00113409470116395,0.0816740257517596,0.0567047350581975,1.87203905688425,0.7,0.3,10
100,0.0668215407030867,0.00514521454777123,0.000506119873130511,0.0663154208299562,0.0506119873130511,1.8782362878282,0.7,0.3,10
1,0.610321403678372,0.0676466820282096,0.01109627103243,0.599225132645942,0.0180493645615941,1.67274016018625,0.7,0.7,7
3,0.613299304100566,0.0448879108659655,0.00543223640222569,0.607867067698341,0.0317014566140885,1.77545471845496,0.7,0.7,7
5,0.586276274085909,0.0319855359504588,0.00286358823736271,0.583412685848546,0.0336156515949189,1.83111929206022,0.7,0.7,7
9,0.487949574998252,0.0243495552998652,0.000951575510002754,0.486997999488249,0.0317493239111056,1.85304339041581,0.7,0.7,7
15,0.315904484724594,0.0106581578778313,0.000838590127499499,0.315065894597094,0.0790559884545365,1.91843401181354,0.7,0.7,7
