"time","biomass","method"
16.2,125.268671536366,"project()"
16.4,134.781080517241,"project()"
16.6,145.00731485059,"project()"
16.8,155.99830045925,"project()"
17,167.809782454398,"project()"
17.2,180.502442475928,"project()"
17.4,194.1418824626,"project()"
17.6,208.798558687585,"project()"
17.8,224.547750469236,"project()"
18,241.46962434794,"project()"
18.2,259.649417969511,"project()"
18.4,279.177735006607,"project()"
18.6,300.150923364482,"project()"
18.8,322.671503420889,"project()"
19,346.848615409218,"project()"
19.2,372.798460786693,"project()"
19.4,400.644719955982,"project()"
19.6,430.518937166323,"project()"
19.8,462.560871184679,"project()"
20,496.918815601041,"project()"
20.2,533.749894534754,"project()"
20.4,573.22033837667,"project()"
20.6,615.505741107538,"project()"
20.8,660.791296823033,"project()"
21,709.2720092124,"project()"
21.2,761.152864388843,"project()"
21.4,816.648954931976,"project()"
21.6,875.985541372634,"project()"
21.8,939.398036550083,"project()"
22,1007.13189808128,"project()"
22.2,1079.44241432473,"project()"
22.4,1156.5943694588,"project()"
22.6,1238.86157348534,"project()"
22.8,1326.52624308138,"project()"
23,1419.87821931561,"project()"
23.2,1519.21400844121,"project()"
23.4,1624.83563242831,"project()"
23.6,1737.04927676904,"project()"
23.8,1856.16372452463,"project()"
24,1982.48856770483,"project()"
24.2,2116.33218995348,"project()"
24.4,2257.99951819664,"project()"
24.6,2407.78954538942,"project()"
24.8,2565.9926317373,"project()"
25,2732.8875976965,"project()"
25.2,2908.73862857242,"project()"
25.4,3093.79201749809,"project()"
25.6,3288.27278081043,"project()"
25.8,3492.38118713909,"project()"
26,3706.28924862804,"project()"
26.2,3930.13722933995,"project()"
26.4,4164.030231733,"project()"
26.6,4408.03492682316,"project()"
26.8,4662.17649692646,"project()"
27,4926.43586141166,"project()"
27.2,5200.74725542555,"project()"
27.4,5484.99622888678,"project()"
27.6,5779.01812807267,"project()"
27.8,6082.59711484211,"project()"
28,6395.46576905337,"project()"
28.2,6717.3053082729,"project()"
28.4,7047.74644576449,"project()"
28.6,7386.3708934315,"project()"
28.8,7732.71350136924,"project()"
29,8086.26501053287,"project()"
29.2,8446.47538032098,"project()"
29.4,8812.7576391851,"project()"
29.6,9184.49219422429,"project()"
29.8,9561.03152556019,"project()"
30,9941.70518345919,"project()"
30.2,10325.8250009096,"project()"
30.4,10712.6904317798,"project()"
30.6,11101.5939247638,"project()"
30.8,11491.8262459308,"project()"
31,11882.6816676003,"project()"
31.2,12273.4629481489,"project()"
31.4,12663.4860358421,"project()"
31.6,13052.0844394644,"project()"
31.8,13438.6132189744,"project()"
32,13822.4525602247,"project()"
32.2,14203.0109085814,"project()"
32.4,14579.7276467133,"project()"
32.6,14952.0753116221,"project()"
32.8,15319.5613549092,"project()"
33,15681.7294581838,"project()"
33.2,16038.1604222787,"project()"
33.4,16388.4726545271,"project()"
33.6,16732.3222827517,"project()"
33.8,17069.402927866,"project()"
34,17399.4451691624,"project()"
34.2,17722.215737553,"project()"
34.4,18037.5164723466,"project()"
34.6,18345.1830767173,"project()"
34.8,18645.0837059535,"project()"
35,18937.1174210142,"project()"
35.2,19221.2125379504,"project()"
35.4,19497.3249015094,"project()"
35.6,19765.4361087943,"project()"
35.8,20025.5517063115,"project()"
36,20277.6993811578,"project()"
36.2,20521.9271645434,"project()"
36.4,20758.3016633707,"project()"
36.6,20986.9063332176,"project()"
36.8,21207.8398038453,"project()"
37,21421.2142662853,"project()"
37.2,21627.1539286569,"project()"
37.4,21825.7935461541,"project()"
37.6,22017.277029094,"project()"
37.8,22201.7561315605,"project()"
38,22379.3892219782,"project()"
38.2,22550.3401359212,"project()"
38.4,22714.7771105799,"project()"
38.6,22872.8717995653,"project()"
38.8,23024.7983661189,"project()"
39,23170.7326522969,"project()"
39.2,23310.8514213052,"project()"
39.4,23445.3316698585,"project()"
39.6,23574.3500072201,"project()"
39.8,23698.0820974238,"project()"
40,23816.7021610989,"project()"
40.2,23930.3825332753,"project()"
40.4,24039.293273559,"project()"
40.6,24143.60182511,"project()"
40.8,24243.4727189297,"project()"
41,24339.0673200627,"project()"
41.2,24430.5436124359,"project()"
41.4,24518.0560191899,"project()"
41.6,24601.7552554985,"project()"
41.8,24681.788211024,"project()"
42,24758.2978593081,"project()"
42.2,24831.423191555,"project()"
42.4,24901.2991724193,"project()"
42.6,24968.0567155651,"project()"
42.8,25031.8226769138,"project()"
43,25092.7198636449,"project()"
43.2,25150.8670571578,"project()"
43.4,25206.3790483349,"project()"
43.6,25259.3666835832,"project()"
43.8,25309.9369202478,"project()"
44,25358.192890115,"project()"
44.2,25404.2339698295,"project()"
44.4,25448.1558571555,"project()"
44.6,25490.0506521094,"project()"
44.8,25530.0069420833,"project()"
45,25568.1098901616,"project()"
45.2,25604.4413259152,"project()"
45.4,25639.0798380286,"project()"
45.6,25672.1008681823,"project()"
45.8,25703.5768056791,"project()"
46,25733.5770823551,"project()"
46.2,25762.1682673736,"project()"
46.4,25789.414161546,"project()"
46.6,25815.3758908678,"project()"
46.8,25840.1119989998,"project()"
47,25863.6785384598,"project()"
47.2,25886.129160324,"project()"
47.4,25907.5152022674,"project()"
47.6,25927.8857747999,"project()"
47.8,25947.2878455798,"project()"
48,25965.766321707,"project()"
48.2,25983.3641299206,"project()"
48.4,26000.1222946409,"project()"
48.6,26016.0800138136,"project()"
48.8,26031.2747325267,"project()"
49,26045.7422143843,"project()"
49.2,26059.5166106317,"project()"
49.4,26072.6305270354,"project()"
49.6,26085.1150885335,"project()"
49.8,26097.0000016726,"project()"
50,26108.3136148628,"project()"
50.2,26119.0829764785,"project()"
50.4,26129.3338908453,"project()"
50.6,26139.0909721515,"project()"
50.8,26148.3776963303,"project()"
51,26157.2164509571,"project()"
51.2,26165.628583214,"project()"
51.4,26173.634445969,"project()"
51.6,26181.2534420241,"project()"
51.8,26188.5040665844,"project()"
52,26195.403948001,"project()"
52.2,26201.9698868432,"project()"
52.4,26208.2178933507,"project()"
52.6,26214.1632233232,"project()"
52.8,26219.8204124967,"project()"
53,26225.2033094622,"project()"
53.2,26230.3251071758,"project()"
53.4,26235.1983731139,"project()"
53.6,26239.8350781214,"project()"
53.8,26244.2466240033,"project()"
54,26248.4438699068,"project()"
54.2,26252.4371575413,"project()"
54.4,26256.236335281,"project()"
54.6,26259.8507811958,"project()"
54.8,26263.2894250518,"project()"
55,26266.560769325,"project()"
55.2,26269.6729092671,"project()"
55.4,26272.6335520639,"project()"
55.6,26275.4500351232,"project()"
55.8,26278.1293435295,"project()"
56,26280.6781267005,"project()"
56.2,26283.1027142797,"project()"
56.4,26285.4091312978,"project()"
56.6,26287.603112635,"project()"
56.8,26289.690116814,"project()"
57,26291.6753391534,"project()"
57.2,26293.5637243098,"project()"
57.4,26295.3599782357,"project()"
57.6,26297.0685795787,"project()"
57.8,26298.6937905477,"project()"
58,26300.2396672691,"project()"
58.2,26301.7100696573,"project()"
58.4,26303.1086708201,"project()"
58.6,26304.4389660213,"project()"
58.8,26305.7042812197,"project()"
59,26306.9077812045,"project()"
59.2,26308.0524773457,"project()"
59.4,26309.1412349766,"project()"
59.6,26310.1767804261,"project()"
59.8,26311.1617077163,"project()"
60,26312.0984849414,"project()"
60.2,26312.9894603428,"project()"
60.4,26313.8368680943,"project()"
60.6,26314.6428338106,"project()"
60.8,26315.4093797931,"project()"
61,26316.138430024,"project()"
61.2,26316.8318149219,"project()"
61.4,26317.4912758686,"project()"
61.6,26318.1184695197,"project()"
61.8,26318.7149719071,"project()"
62,26319.2822823454,"project()"
62.2,26319.82182715,"project()"
62.4,26320.3349631757,"project()"
62.6,26320.8229811864,"project()"
62.8,26321.2871090605,"project()"
63,26321.7285148438,"project()"
63.2,26322.1483096534,"project()"
63.4,26322.5475504424,"project()"
63.6,26322.9272426309,"project()"
63.8,26323.2883426097,"project()"
64,26323.6317601234,"project()"
64.2,26323.9583605375,"project()"
64.4,26324.2689669967,"project()"
64.6,26324.5643624781,"project()"
64.8,26324.8452917452,"project()"
65,26325.1124632075,"project()"
65.2,26325.3665506893,"project()"
65.4,26325.6081951135,"project()"
65.6,26325.8380061032,"project()"
65.8,26326.0565635064,"project()"
66,26326.2644188455,"project()"
66.2,26326.4620966973,"project()"
66.4,26326.6500960063,"project()"
66.6,26326.8288913332,"project()"
66.8,26326.9989340435,"project()"
67,26327.160653438,"project()"
67.2,26327.3144578291,"project()"
67.4,26327.4607355632,"project()"
67.6,26327.5998559952,"project()"
67.8,26327.7321704147,"project()"
68,26327.8580129267,"project()"
68.2,26327.9777012905,"project()"
68.4,26328.0915377173,"project()"
68.6,26328.1998096284,"project()"
68.8,26328.3027903777,"project()"
69,26328.400739938,"project()"
69.2,26328.4939055543,"project()"
69.4,26328.5825223652,"project()"
69.6,26328.6668139942,"project()"
69.8,26328.746993112,"project()"
70,26328.8232619713,"project()"
70.2,26328.895812916,"project()"
70.4,26328.9648288649,"project()"
70.6,26329.0304837727,"project()"
70.8,26329.0929430674,"project()"
71,26329.1523640675,"project()"
71.2,26329.2088963782,"project()"
71.4,26329.2626822685,"project()"
71.6,26329.3138570295,"project()"
71.8,26329.3625493161,"project()"
72,26329.4088814712,"project()"
72.2,26329.4529698342,"project()"
72.4,26329.4949250351,"project()"
72.6,26329.5348522733,"project()"
72.8,26329.5728515835,"project()"
73,26329.6090180885,"project()"
73.2,26329.643442239,"project()"
73.4,26329.6762100431,"project()"
73.6,26329.707403283,"project()"
73.8,26329.7370997221,"project()"
74,26329.7653733018,"project()"
74.2,26329.7922943285,"project()"
74.4,26329.8179296517,"project()"
74.6,26329.8423428333,"project()"
74.8,26329.8655943085,"project()"
75,26329.887741539,"project()"
75.2,26329.9088391587,"project()"
75.4,26329.9289391124,"project()"
75.6,26329.9480907871,"project()"
75.8,26329.966341138,"project()"
76,26329.9837348072,"project()"
76.2,26330.0003142373,"project()"
76.4,26330.0161197793,"project()"
76.6,26330.0311897949,"project()"
76.8,26330.0455607543,"project()"
77,26330.0592673291,"project()"
77.2,26330.0723424802,"project()"
77.4,26330.0848175417,"project()"
77.6,26330.0967223014,"project()"
77.8,26330.1080850759,"project()"
78,26330.1189327831,"project()"
78.2,26330.1292910111,"project()"
78.4,26330.1391840832,"project()"
78.6,26330.1486351202,"project()"
78.8,26330.1576660994,"project()"
79,26330.1662979108,"project()"
79.2,26330.1745504106,"project()"
79.4,26330.1824424717,"project()"
79.6,26330.1899920325,"project()"
79.8,26330.1972161425,"project()"
80,26330.2041310063,"project()"
80.2,26330.2107520249,"project()"
80.4,26330.2170938353,"project()"
80.6,26330.2231703482,"project()"
80.8,26330.2289947838,"project()"
81,26330.2345797054,"project()"
81.2,26330.2399370523,"project()"
81.4,26330.2450781702,"project()"
81.6,26330.2500138405,"project()"
81.8,26330.2547543081,"project()"
82,26330.2593093079,"project()"
82.2,26330.26368809,"project()"
82.4,26330.2678994435,"project()"
82.6,26330.271951719,"project()"
82.8,26330.2758528511,"project()"
83,26330.2796103777,"project()"
83.2,26330.2832314607,"project()"
83.4,26330.286722904,"project()"
83.6,26330.2900911711,"project()"
83.8,26330.2933424024,"project()"
84,26330.2964824308,"project()"
84.2,26330.2995167968,"project()"
84.4,26330.3024507635,"project()"
84.6,26330.3052893297,"project()"
84.8,26330.3080372436,"project()"
85,26330.3106990145,"project()"
85.2,26330.3132789255,"project()"
85.4,26330.3157810438,"project()"
85.6,26330.3182092322,"project()"
85.8,26330.3205671586,"project()"
86,26330.3228583061,"project()"
86.2,26330.3250859822,"project()"
86.4,26330.327253327,"project()"
86.6,26330.3293633222,"project()"
86.8,26330.3314187985,"project()"
87,26330.3334224433,"project()"
87.2,26330.3353768078,"project()"
87.4,26330.3372843138,"project()"
87.6,26330.3391472601,"project()"
87.8,26330.3409678286,"project()"
88,26330.3427480903,"project()"
88.2,26330.3444900107,"project()"
88.4,26330.346195455,"project()"
88.6,26330.3478661934,"project()"
88.8,26330.3495039053,"project()"
89,26330.3511101846,"project()"
89.2,26330.3526865433,"project()"
89.4,26330.354234416,"project()"
89.6,26330.3557551637,"project()"
89.8,26330.3572500772,"project()"
90,26330.3587203811,"project()"
90.2,26330.3601672369,"project()"
90.4,26330.3615917461,"project()"
90.6,26330.3629949533,"project()"
90.8,26330.364377849,"project()"
91,26330.3657413725,"project()"
91.2,26330.3670864142,"project()"
91.4,26330.3684138185,"project()"
91.6,26330.3697243856,"project()"
91.8,26330.3710188741,"project()"
92,26330.372298003,"project()"
92.2,26330.3735624537,"project()"
92.4,26330.3748128719,"project()"
92.6,26330.3760498694,"project()"
92.8,26330.377274026,"project()"
93,26330.3784858908,"project()"
93.2,26330.379685984,"project()"
93.4,26330.3808747983,"project()"
93.6,26330.3820528005,"project()"
93.8,26330.3832204325,"project()"
94,26330.3843781126,"project()"
94.2,26330.385526237,"project()"
94.4,26330.3866651808,"project()"
94.6,26330.387795299,"project()"
94.8,26330.3889169276,"project()"
95,26330.3900303845,"project()"
95.2,26330.3911359705,"project()"
95.4,26330.3922339703,"project()"
95.6,26330.3933246532,"project()"
95.8,26330.3944082739,"project()"
96,26330.3954850733,"project()"
96.2,26330.396555279,"project()"
96.4,26330.3976191066,"project()"
96.6,26330.3986767596,"project()"
96.8,26330.3997284304,"project()"
97,26330.4007743009,"project()"
97.2,26330.4018145431,"project()"
97.4,26330.4028493193,"project()"
97.6,26330.403878783,"project()"
97.8,26330.404903079,"project()"
98,26330.4059223442,"project()"
98.2,26330.406936708,"project()"
98.4,26330.4079462923,"project()"
98.6,26330.4089512123,"project()"
98.8,26330.4099515767,"project()"
99,26330.4109474882,"project()"
99.2,26330.4119390437,"project()"
99.4,26330.4129263344,"project()"
99.6,26330.4139094465,"project()"
99.8,26330.4148884615,"project()"
100,26330.4158634558,"project()"
100.2,26330.4168345018,"project()"
100.4,26330.4178016677,"project()"
100.6,26330.4187650178,"project()"
100.8,26330.4197246125,"project()"
101,26330.420680509,"project()"
101.2,26330.4216327611,"project()"
101.4,26330.4225814195,"project()"
101.6,26330.4235265319,"project()"
101.8,26330.4244681434,"project()"
102,26330.4254062963,"project()"
102.2,26330.4263410306,"project()"
102.4,26330.4272723839,"project()"
102.6,26330.4282003916,"project()"
102.8,26330.4291250872,"project()"
103,26330.4300465021,"project()"
103.2,26330.4309646659,"project()"
103.4,26330.4318796066,"project()"
103.6,26330.4327913504,"project()"
103.8,26330.4336999221,"project()"
104,26330.4346053451,"project()"
104.2,26330.4355076415,"project()"
104.4,26330.4364068319,"project()"
104.6,26330.4373029361,"project()"
104.8,26330.4381959724,"project()"
105,26330.4390859583,"project()"
105.2,26330.4399729104,"project()"
105.4,26330.4408568441,"project()"
105.6,26330.4417377743,"project()"
105.8,26330.4426157148,"project()"
106,26330.4434906788,"project()"
106.2,26330.4443626788,"project()"
106.4,26330.4452317267,"project()"
106.6,26330.4460978337,"project()"
106.8,26330.4469610105,"project()"
107,26330.4478212672,"project()"
107.2,26330.4486786135,"project()"
107.4,26330.4495330587,"project()"
107.6,26330.4503846115,"project()"
107.8,26330.4512332805,"project()"
108,26330.4520790735,"project()"
108.2,26330.4529219985,"project()"
108.4,26330.4537620628,"project()"
108.6,26330.4545992735,"project()"
108.8,26330.4554336377,"project()"
109,26330.4562651619,"project()"
109.2,26330.4570938526,"project()"
109.4,26330.4579197161,"project()"
109.6,26330.4587427584,"project()"
109.8,26330.4595629855,"project()"
110,26330.4603804031,"project()"
110.2,26330.461195017,"project()"
110.4,26330.4620068325,"project()"
110.6,26330.4628158553,"project()"
110.8,26330.4636220906,"project()"
111,26330.4644255436,"project()"
111.2,26330.4652262196,"project()"
111.4,26330.4660241237,"project()"
111.6,26330.466819261,"project()"
111.8,26330.4676116365,"project()"
112,26330.4684012553,"project()"
112.2,26330.4691881223,"project()"
112.4,26330.4699722425,"project()"
112.6,26330.4707536209,"project()"
112.8,26330.4715322623,"project()"
113,26330.4723081719,"project()"
113.2,26330.4730813545,"project()"
113.4,26330.4738518151,"project()"
113.6,26330.4746195586,"project()"
113.8,26330.4753845902,"project()"
114,26330.4761469147,"project()"
114.2,26330.4769065373,"project()"
114.4,26330.477663463,"project()"
114.6,26330.4784176969,"project()"
114.8,26330.4791692441,"project()"
115,26330.4799181099,"project()"
115.2,26330.4806642994,"project()"
115.4,26330.4814078179,"project()"
115.6,26330.4821486706,"project()"
115.8,26330.482886863,"project()"
116,26330.4836224003,"project()"
116.2,26330.484355288,"project()"
116.4,26330.4850855316,"project()"
116.6,26330.4858131365,"project()"
116.8,26330.4865381084,"project()"
117,26330.4872604528,"project()"
117.2,26330.4879801753,"project()"
117.4,26330.4886972817,"project()"
117.6,26330.4894117777,"project()"
117.8,26330.4901236692,"project()"
118,26330.4908329619,"project()"
118.2,26330.4915396617,"project()"
118.4,26330.4922437746,"project()"
118.6,26330.4929453066,"project()"
118.8,26330.4936442636,"project()"
119,26330.4943406519,"project()"
119.2,26330.4950344774,"project()"
119.4,26330.4957257464,"project()"
119.6,26330.4964144651,"project()"
119.8,26330.4971006397,"project()"
120,26330.4977842766,"project()"
120.2,26330.498465382,"project()"
120.4,26330.4991439625,"project()"
120.6,26330.4998200243,"project()"
120.8,26330.500493574,"project()"
121,26330.5011646181,"project()"
121.2,26330.5018331631,"project()"
121.4,26330.5024992157,"project()"
121.6,26330.5031627824,"project()"
121.8,26330.5038238699,"project()"
122,26330.5044824849,"project()"
122.2,26330.5051386342,"project()"
122.4,26330.5057923245,"project()"
