"t","fish_level","selected","total"
40.8,0,0.00943888309515425,0.431761447912539
41,0,0.00899821368292976,0.423130415322661
41.2,0,0.00861814760327612,0.412822936348377
41.4,0,0.00830000705490234,0.401111435456142
41.6,0,0.00805591922124745,0.388231796933662
41.8,0,0.00791138046470987,0.374386426570376
42,0,0.00791150352218834,0.359749682746745
42.2,0,0.00813420653996377,0.344478577737226
42.4,0,0.00871752534324663,0.328733674897649
42.6,0,0.00991507606367042,0.312719888547267
42.8,0,0.012198189796045,0.296767449803401
43,0,0.0163810582895847,0.281496413904174
43.2,0,0.0234864774935854,0.268145755518578
43.4,0,0.0334949111515529,0.259130814804893
43.6,0,0.0430091067055069,0.258462497567989
43.8,0,0.0465635547456333,0.270414760036116
44,0,0.0429132935424192,0.295208639013485
20.2,5,0.00467357719145689,0.163467145960384
20.4,5,0.0103353695298403,0.117719109944128
20.6,5,0.0171485663035169,0.113323068220878
20.8,5,0.0139447634050488,0.160153680842302
21,5,0.00874004152078776,0.253003059278669
21.2,5,0.00466397303642938,0.332419858716694
21.4,5,0.0024550810677885,0.386486721568627
21.6,5,0.00139408995830938,0.425905605961559
21.8,5,0.000900100351069452,0.4549280060195
22,5,0.000674573327699814,0.475929291607793
22.2,5,0.000565909107472913,0.490696991270885
22.4,5,0.000504727362825481,0.500537903325293
22.6,5,0.000463082660489431,0.506385926544274
22.8,5,0.000430067502690634,0.508927215499556
23,5,0.00040105516987316,0.508692930419278
23.2,5,0.000373851848904349,0.506106305514841
23.4,5,0.000347376131498766,0.501502262920098
23.6,5,0.000321152131419245,0.495139691801983
23.8,5,0.000295078488655057,0.487210893587879
24,5,0.000269308331298385,0.477850744031122
24.2,5,0.000244169597518492,0.46713883861241
24.4,5,0.00022010729480672,0.455101309948726
24.6,5,0.000197626801711838,0.441703549665273
24.8,5,0.000177254871640157,0.426835159260917
25,5,0.000159536246222889,0.410272562361353
25.2,5,0.000145103655588156,0.391591964519687
25.4,5,0.00013492183164406,0.369965206252592
25.6,5,0.000130988869124642,0.34365474219252
25.8,5,0.000138791520874873,0.308772382378686
26,5,0.000179885771238605,0.256930433481873
26.2,5,0.000419454988376894,0.178544905982372
26.4,5,0.00433605141632527,0.098566959461783
26.6,5,0.0254185363689538,0.0511744691333067
26.8,5,0.0117328114655478,0.0729929183539764
27,5,0.00319496242152037,0.23908583432642
27.2,5,0.00166925757838951,0.380287129573422
27.4,5,0.00128835776631848,0.455839785246024
27.6,5,0.00108316355367506,0.504529732035176
27.8,5,0.000972821464209126,0.538048560172482
28,5,0.000920358997751483,0.561812336305232
28.2,5,0.000892578227215065,0.579015317041345
28.4,5,0.000874173919917283,0.591677343592782
28.6,5,0.000859295454507636,0.601118423186087
28.8,5,0.00084542023342862,0.608222073095952
29,5,0.000831235932107994,0.613590947045021
29.2,5,0.000815996297304712,0.617641683485309
29.4,5,0.000799278296843068,0.620662578606545
29.6,5,0.00078085367545414,0.622850427094778
29.8,5,0.000760609562097844,0.62433495103077
30,5,0.00073850216935714,0.625185439418098
30.2,5,0.000714532062526488,0.625437822590856
30.4,5,0.000688738610216844,0.625070287385065
30.6,5,0.000661207550539101,0.624059258052003
30.8,5,0.000632080886781514,0.62234136374393
31,5,0.00060157789135504,0.619874923621529
31.2,5,0.000569998860283999,0.616633127291206
31.4,5,0.000537717151714495,0.612584538399079
31.6,5,0.000505170023094821,0.607750824311747
31.8,5,0.000472805406977274,0.602108935039542
32,5,0.000441050654690846,0.595684535185141
32.2,5,0.000410275678864286,0.588466805054811
32.4,5,0.00038074710471002,0.580462616032566
32.6,5,0.000352648294817827,0.571674075725517
32.8,5,0.000326060679756886,0.562097152127541
33,5,0.000300997214462382,0.551738632766835
33.2,5,0.000277430903772944,0.540593259537039
33.4,5,0.000255298562792955,0.528663579334459
33.6,5,0.000234551657230336,0.515941734587205
33.8,5,0.000215136965466186,0.502415754143785
34,5,0.00019704101607571,0.488062989824288
34.2,5,0.000180271256472704,0.472838253787328
34.4,5,0.000164891778400729,0.456671003892754
34.6,5,0.000151023587605358,0.439433934404007
34.8,5,0.00013889818678399,0.420910849251036
35,5,0.000128928260838151,0.400707988653083
35.2,5,0.000121909794590384,0.378071813161766
35.4,5,0.000119557976005799,0.351444038506201
35.6,5,0.000126347276984437,0.317367946708167
35.8,5,0.000158389606785619,0.268220741603517
36,5,0.000322608260712297,0.193128134286927
36.2,5,0.00266987171127051,0.109020699052124
36.4,5,0.0234203257916169,0.0561054043373441
36.6,5,0.0144211356075331,0.0592763192633754
36.8,5,0.00370616641050082,0.207850208184626
37,5,0.00172035307373915,0.363913922362962
37.2,5,0.00130680193331217,0.446389236573847
37.4,5,0.00109990997382961,0.498376466600301
37.6,5,0.000983327880260096,0.533900529209948
37.8,5,0.000927107668438346,0.558971467045546
38,5,0.000897893677169689,0.577058201034935
38.2,5,0.000878998677906521,0.590334838363956
38.4,5,0.000864020167996996,0.600214486402585
38.6,5,0.000850253059750487,0.607639003268763
38.8,5,0.00083630290741512,0.613248950407146
39,5,0.000821372681643274,0.617486187743361
39.2,5,0.000805005709402513,0.620657670592343
39.4,5,0.00078695226510918,0.622972392365538
39.6,5,0.000767086204713439,0.624572687143051
39.8,5,0.000745354771126806,0.625535556201721
40,5,0.000721751620134087,0.625905593675988
40.2,5,0.000696307607313724,0.625670822724881
40.4,5,0.000669098134905333,0.624805237306729
40.6,5,0.000640252228519438,0.623257928809444
40.8,5,0.000609971800487853,0.620969696943207
41,5,0.000578542732282166,0.617921868403848
41.2,5,0.000546324279356312,0.614069988649812
41.4,5,0.000513744580820293,0.609432654714469
41.6,5,0.000481255664316708,0.603993727307596
41.8,5,0.000449290184687369,0.597763814156084
42,5,0.0004182361281522,0.590749731193313
42.2,5,0.000388381345778064,0.582941497793875
42.4,5,0.000359924652635746,0.574355884923131
42.6,5,0.000332970673593116,0.564977389002192
42.8,5,0.000307538860118453,0.554822105712125
43,5,0.000283613089499567,0.543877436091008
43.2,5,0.000261131374576842,0.532153957100305
43.4,5,0.00024004220973826,0.519638044618379
43.6,5,0.000220291029738513,0.506327280193268
43.8,5,0.000201853320911876,0.492196144625433
44,5,0.000184730979141605,0.477211003532309
20.2,9,0.00260628461389766,0.114727970138104
20.4,9,0.00526236058848724,0.0803117865014304
20.6,9,0.00585329358716515,0.0888812257254451
20.8,9,0.00403052673332427,0.145036394351604
21,9,0.00233482307188223,0.22342952022982
21.2,9,0.0011242572346272,0.287578909280236
21.4,9,0.00046418763474767,0.332004524050926
21.6,9,0.000197459198664889,0.362788881152171
21.8,9,9.95247989189029e-05,0.383385361988249
22,9,6.1930761649328e-05,0.395867588890713
22.2,9,4.5052923262218e-05,0.401814588424375
22.4,9,3.57447621261282e-05,0.402424730149984
22.6,9,2.96274116388149e-05,0.39856966078575
22.8,9,2.51241712528157e-05,0.390819035436791
23,9,2.16347204580655e-05,0.37941841222657
23.2,9,1.89769997851638e-05,0.364174653184773
23.4,9,1.72401083060013e-05,0.344123910954074
23.6,9,1.69125369262598e-05,0.316621484316997
23.8,9,1.98910513535727e-05,0.27484856924366
24,9,3.88820704621264e-05,0.202984474810813
24.2,9,0.000409740915094032,0.0955022300093775
24.4,9,0.0087254911530375,0.0278849462526852
24.6,9,0.00382966598419231,0.0202548161090488
24.8,9,0.000438766903065771,0.112864701433329
25,9,0.000245401892347335,0.276984601302028
25.2,9,0.00022532365593561,0.36991402428643
25.4,9,0.000156639385672178,0.42023931507337
25.6,9,0.000108820315897388,0.452940332501317
25.8,9,8.50732511271832e-05,0.475171202086201
26,9,7.3251173094875e-05,0.490338532220574
26.2,9,6.61478005301841e-05,0.50040078813797
26.4,9,6.08916067195641e-05,0.506547484419985
26.6,9,5.63673642700252e-05,0.509549298130497
26.8,9,5.21062937472417e-05,0.509951760637661
27,9,4.79109576223355e-05,0.508164687135758
27.2,9,4.3716799354926e-05,0.504497827439702
27.4,9,3.95312980424678e-05,0.499179410932493
27.6,9,3.54031263915223e-05,0.49237089606637
27.8,9,3.14023441895142e-05,0.484176554583123
28,9,2.76069342070995e-05,0.47465284720526
28.2,9,2.4090048398932e-05,0.463808674856408
28.4,9,2.09124663205069e-05,0.451608342500141
28.6,9,1.81175217159907e-05,0.437959912882488
28.8,9,1.57341692240484e-05,0.42269315304398
29,9,1.37869633719107e-05,0.405501471921937
29.2,9,1.23173935907532e-05,0.385809376616331
29.4,9,1.14323127875802e-05,0.362452165578363
29.6,9,1.14458843508601e-05,0.332839847887457
29.8,9,1.35006594779766e-05,0.290683077636486
30,9,2.45210466598083e-05,0.221029491578154
30.2,9,0.000197876256026386,0.111726701517402
30.4,9,0.00691217033846283,0.0335175804715049
30.6,9,0.00505285450044399,0.0160503675818004
30.8,9,0.000547479646413221,0.0881723929144714
31,9,0.000206943905344584,0.254040268722186
31.2,9,0.0002170620677719,0.359097434393969
31.4,9,0.000160782269389961,0.413636479662201
31.6,9,0.000112436065265267,0.448417323308108
31.8,9,8.68626940790379e-05,0.471937330873068
32,9,7.41102172538991e-05,0.487971276298506
32.2,9,6.66298687644404e-05,0.498650817144298
32.4,9,6.12256629546238e-05,0.505259319670509
32.6,9,5.66485651511828e-05,0.5086189737025
32.8,9,5.23757208733849e-05,0.509304930208602
33,9,4.81848374760863e-05,0.507746485200967
33.2,9,4.39987355721056e-05,0.504267667754679
33.4,9,3.98182254419058e-05,0.499107641708217
33.6,9,3.56885341469953e-05,0.492436103097398
33.8,9,3.16783857028355e-05,0.484364025538426
34,9,2.78658915553008e-05,0.474952977008661
34.2,9,2.4325496152626e-05,0.464216248748471
34.4,9,2.11199888547533e-05,0.452121984837615
34.6,9,1.82947858052085e-05,0.438582152309361
34.8,9,1.58805189225258e-05,0.423432055663888
35,9,1.39022248347236e-05,0.406374555720951
35.2,9,1.24000051793449e-05,0.386853759004722
35.4,9,1.14752716821985e-05,0.363749651674931
35.6,9,1.14238925410942e-05,0.334584227684666
35.8,9,1.33049811233751e-05,0.293361671700571
36,9,2.32889755275033e-05,0.225697453701371
36.2,9,0.000165426804663667,0.117643188009372
36.4,9,0.00620309547740126,0.0359200053998763
36.6,9,0.00555505333557538,0.0153663243001173
36.8,9,0.000614468482281233,0.0810770885380764
37,9,0.000205583062883597,0.246114086291489
37.2,9,0.000218941394755644,0.355334774716747
37.4,9,0.000163925724754133,0.411396815860123
37.6,9,0.000114339801243538,0.446925798799218
37.8,9,8.77907162826533e-05,0.470919956137201
38,9,7.46040920915091e-05,0.487282151553889
38.2,9,6.69535554337937e-05,0.498204131979507
38.4,9,6.1481466785306e-05,0.505002025640711
38.6,9,5.6877854205147e-05,0.508515587060412
38.8,9,5.25963225336495e-05,0.509329581573268
39,9,4.84039468944653e-05,0.507879603426551
39.2,9,4.42180575865451e-05,0.504494574351786
39.4,9,4.00364066354267e-05,0.499417730505612
39.6,9,3.59024711095639e-05,0.492821992819778
39.8,9,3.18841488420855e-05,0.484821279898064
40,9,2.80593834102134e-05,0.475479549671354
40.2,9,2.45030475316492e-05,0.464812559410403
40.4,9,2.12787420559517e-05,0.452791031188574
40.6,9,1.84327502020067e-05,0.439330121175369
40.8,9,1.59963742889818e-05,0.424270239362041
41,9,1.39945128384696e-05,0.407323335358533
41.2,9,1.24656809867909e-05,0.38795239436331
41.4,9,1.15060822771948e-05,0.365080174834449
41.6,9,1.13944152066989e-05,0.336335368369341
41.8,9,1.31129506935074e-05,0.296002169996757
42,9,2.21718520995719e-05,0.230262681995769
42.2,9,0.000139350644964132,0.123675596786059
42.4,9,0.00548362761464054,0.0384797051207204
42.6,9,0.00607906633918726,0.0148966536195922
42.8,9,0.000691548888716035,0.0743230762232424
43,9,0.000204671684026814,0.237898302035019
43.2,9,0.000220560903355006,0.351421293015966
43.4,9,0.000167106698170391,0.409094261381637
43.6,9,0.000116315917419963,0.445396092463327
43.8,9,8.87564981063381e-05,0.469876626801589
44,9,7.51130919315522e-05,0.486574237781282
20.2,15,0.00104141842003177,0.0811691294222742
20.4,15,0.0014131127227775,0.0596354808085718
20.6,15,0.0013614176233245,0.0744134142994525
20.8,15,0.000872526271073554,0.113731491529555
21,15,0.000708944763088062,0.143299613134307
21.2,15,0.000511148875309801,0.170240500908906
21.4,15,0.000281100192709978,0.187677681188013
21.6,15,0.00017207114411009,0.183342609715777
21.8,15,0.000177380235257443,0.155195578883394
22,15,0.00041930527746314,0.105191427500854
22.2,15,0.00150479216476874,0.0510267751565893
22.4,15,0.00203928404333178,0.0241194899461977
22.6,15,0.000821598102399435,0.0450635436849395
22.8,15,0.000463456717235588,0.122545897150813
23,15,0.00031999511111636,0.207442223199942
23.2,15,0.000126577602701915,0.254976391072458
23.4,15,4.1221769963071e-05,0.277381009921622
23.6,15,1.58364327377351e-05,0.285391350536856
23.8,15,8.44731882999995e-06,0.281806264119589
24,15,6.37307548260987e-06,0.26571116246098
24.2,15,7.29124685083396e-06,0.231196563728144
24.4,15,1.9528942435998e-05,0.16215597081055
24.6,15,0.000371045851484201,0.0569065767773725
24.8,15,0.00257426475388786,0.00771495981681262
25,15,0.000302264811520234,0.0119405229614334
25.2,15,4.01574955044356e-05,0.071018120499683
25.4,15,0.00012136426289151,0.184168346528278
25.6,15,0.000104581754734777,0.250931222196095
25.8,15,4.14317505950963e-05,0.273890202436984
26,15,1.61739883087253e-05,0.277715923239201
26.2,15,8.92735267104164e-06,0.267475703433119
26.4,15,7.93749387023407e-06,0.239969793670018
26.6,15,1.48255921060657e-05,0.181664107076828
26.8,15,0.000164412104482862,0.078889153510924
27,15,0.00256023060661058,0.0124638556766142
27.2,15,0.000597333281205743,0.00784424141353642
27.4,15,4.66848142440575e-05,0.0510704920635698
27.6,15,0.000102820813758251,0.160439845903249
27.8,15,0.000120571395726549,0.241310051734705
28,15,5.20394535174408e-05,0.27091120268843
28.2,15,1.95290411684693e-05,0.278239543657164
28.4,15,9.80523069319794e-06,0.271301839439118
28.6,15,7.73902360045799e-06,0.24860517925714
28.8,15,1.14866690966739e-05,0.199649911207771
29,15,7.33771456947803e-05,0.105391902516251
29.2,15,0.00190838721260647,0.0206569209656534
29.4,15,0.00110643113474464,0.00556203622171763
29.6,15,6.99824632438976e-05,0.0341147791734671
29.8,15,7.80165475635124e-05,0.132342115768896
30,15,0.00013267740890572,0.228036257017199
30.2,15,6.59875805137095e-05,0.266527476676713
30.4,15,2.43101142775897e-05,0.27788676515277
30.6,15,1.11270907170086e-05,0.274256359891447
30.8,15,7.81913567936041e-06,0.255866909469863
31,15,9.60380145663913e-06,0.214903347817711
31.2,15,3.77881418401451e-05,0.132013855955932
31.4,15,0.00105118999081378,0.0333924437493984
31.6,15,0.00181175542558829,0.00530980891908559
31.8,15,0.000131228866939921,0.0218193881861154
32,15,5.67561956761026e-05,0.103691073566564
32.2,15,0.0001356331215635,0.211035682875558
32.4,15,8.2513044904182e-05,0.260695948998815
32.6,15,3.07147503170119e-05,0.276684704296803
32.8,15,1.29624151494192e-05,0.276367889411872
33,15,8.14941112578058e-06,0.261869154877725
33.2,15,8.54029073826942e-06,0.227668346149823
33.4,15,2.27330916793476e-05,0.156637696662366
33.6,15,0.000464811012982578,0.0514987107493651
33.8,15,0.00246271827103913,0.00713711940438811
34,15,0.000265953216105273,0.0135501328014064
34.2,15,4.45631644107291e-05,0.0770733163575838
34.4,15,0.000126632923934935,0.189955196253659
34.6,15,0.0001005634502893,0.253097222417384
34.8,15,3.91303158239015e-05,0.274603390379603
35,15,1.54636289347093e-05,0.277694047854394
35.2,15,8.73562467096908e-06,0.266794180403672
35.4,15,7.97148491171115e-06,0.23835792292142
35.6,15,1.56089951631676e-05,0.178331401880067
35.8,15,0.000190303867824708,0.0746724250207738
36,15,0.0026083513472486,0.0114544534231242
36.2,15,0.000534407596697645,0.00843988670911722
36.4,15,4.49725933681563e-05,0.0543858931986281
36.6,15,0.000106837844605501,0.16492974092734
36.8,15,0.000117976686569945,0.243222986972935
37,15,4.99732989781434e-05,0.271537757716609
37.2,15,1.88556357731105e-05,0.27824044740378
37.4,15,9.62131321918875e-06,0.270752489226116
37.6,15,7.74536247732547e-06,0.247298856353553
37.8,15,1.19034538179637e-05,0.196901895072538
38,15,8.29912571958106e-05,0.100974519021011
38.2,15,0.00204625821071984,0.0190327984423209
38.4,15,0.00100697158353592,0.00579242716964859
38.6,15,6.4182649119504e-05,0.0365611923146628
38.8,15,8.20093555452152e-05,0.137048558924183
39,15,0.000131201395437627,0.230449310083091
39.2,15,6.35122979351959e-05,0.2673360086927
39.4,15,2.3426347498397e-05,0.277999400808468
39.6,15,1.08792556191563e-05,0.273827452169174
39.8,15,7.78926120816528e-06,0.254761970675936
40,15,9.84577726294805e-06,0.212573752120656
40.2,15,4.16886576766064e-05,0.127728204876655
40.4,15,0.00118103772588314,0.0309404603335785
40.6,15,0.00168915060884647,0.005213944603715
40.8,15,0.000117332606537843,0.0235435532907728
41,15,5.97394586127586e-05,0.108330750429275
41.2,15,0.000135933033013687,0.214108732013442
41.4,15,7.96489946376427e-05,0.261766396919449
41.6,15,2.95334801438109e-05,0.276941235479945
41.8,15,1.26194651285717e-05,0.276075168250801
42,15,8.07810130112866e-06,0.26095923570511
42.2,15,8.67546337939228e-06,0.225720248315405
42.4,15,2.44742130170097e-05,0.152773023425047
42.6,15,0.000536683015178467,0.048141780546751
42.8,15,0.00237793944987703,0.0066807450141017
