"t","selected_biomass","on_frac","schedule"
36.2,0.00226908305192811,0.999477369272639,"Threshold (troughs)"
36.4,0.00223246621371909,0.999483071478003,"Threshold (troughs)"
36.6,0.00226152645394296,0.999478551159398,"Threshold (troughs)"
36.8,0.00231302377357649,0.999470443498592,"Threshold (troughs)"
37,0.00232050132514054,0.999469255814633,"Threshold (troughs)"
37.2,0.00227915531356486,0.999475789760686,"Threshold (troughs)"
37.4,0.00224659883229794,0.999480878063155,"Threshold (troughs)"
37.6,0.00226192164849265,0.999478489415401,"Threshold (troughs)"
37.8,0.0023006664856071,0.999472400427631,"Threshold (troughs)"
38,0.00231218340041883,0.999470576811654,"Threshold (troughs)"
38.2,0.00228490931898639,0.999474885288623,"Threshold (troughs)"
38.4,0.00225750953460429,0.999479178336273,"Threshold (troughs)"
38.6,0.00226393732070747,0.999478174379192,"Threshold (troughs)"
38.8,0.00229228470948551,0.999473723669737,"Threshold (troughs)"
39,0.00230496475863341,0.999471720564221,"Threshold (troughs)"
39.2,0.00228779511405782,0.999474431083396,"Threshold (troughs)"
39.4,0.00226567988834856,0.999477901874124,"Threshold (troughs)"
39.6,0.00226666501887593,0.999477747755161,"Threshold (troughs)"
39.8,0.00228681501737773,0.999474585388205,"Threshold (troughs)"
40,0.00229899407139383,0.99947266471917,"Threshold (troughs)"
40.2,0.0022888616506987,0.99947426311816,"Threshold (troughs)"
40.4,0.00227161978823129,0.999476971915427,"Threshold (troughs)"
40.6,0.00226954137962752,0.999477297502014,"Threshold (troughs)"
40.8,0.00228342048230801,0.999475119468319,"Threshold (troughs)"
41,0.0022942384137746,0.999473415532629,"Threshold (troughs)"
41.2,0.00228884342262165,0.999474265989289,"Threshold (troughs)"
41.4,0.00227580886320936,0.999476315072897,"Threshold (troughs)"
41.6,0.00227224339086564,0.999476874187384,"Threshold (troughs)"
41.8,0.0022814606819616,0.999475427566948,"Threshold (troughs)"
42,0.00229057038565546,0.999473993903449,"Threshold (troughs)"
42.2,0.00228823724377342,0.999474361460397,"Threshold (troughs)"
42.4,0.00227866674974185,0.999475866486275,"Threshold (troughs)"
42.6,0.00227460921135414,0.99947650326124,"Threshold (troughs)"
42.8,0.00228045864479737,0.999475585026558,"Threshold (troughs)"
43,0.00228782312364284,0.999474426672947,"Threshold (troughs)"
43.2,0.00228736592265096,0.999474498660159,"Threshold (troughs)"
43.4,0.00228054226406766,0.999475571888476,"Threshold (troughs)"
43.6,0.00227658008502017,0.999476194056298,"Threshold (troughs)"
43.8,0.00228006873732236,0.999475646283653,"Threshold (troughs)"
44,0.00228582337961237,0.999474741463942,"Threshold (troughs)"
