"D","alpha","beta","gamma","beta_gamma","B","Cc","disc","sum_positive","disc_nonneg","hopf_possible"
0.00442063797202854,0.0073677299533809,0.6,0.00147354599067618,0.000884127594405708,-0.00171397174414547,4.69008961913774e-06,-1.58226593368219e-05,TRUE,FALSE,FALSE
0.00462968922662727,0.00771614871104544,0.6,0.00154322974220909,0.000925937845325453,-0.00179233673971994,5.14416536043566e-06,-1.73641904531927e-05,TRUE,FALSE,FALSE
0.00484862648123909,0.00808104413539848,0.6,0.0016162088270797,0.000969725296247817,-0.00187414731817738,5.6422029010975e-06,-1.90563834341586e-05,TRUE,FALSE,FALSE
0.0050779172432054,0.00846319540534234,0.6,0.00169263908106847,0.00101558344864108,-0.00195954122081315,6.18845844692227e-06,-2.09140319916232e-05,TRUE,FALSE,FALSE
0.0053180511282142,0.00886341854702367,0.6,0.00177268370940473,0.00106361022564284,-0.00204866026294596,6.78760027255209e-06,-2.29533922172345e-05,TRUE,FALSE,FALSE
0.00556954090580014,0.00928256817633356,0.6,0.00185651363526671,0.00111390818116003,-0.00214165029037177,7.44474861633144e-06,-2.51923284990763e-05,TRUE,FALSE,FALSE
0.00583292359428621,0.00972153932381034,0.6,0.00194430786476207,0.00116658471885724,-0.00223866111089009,8.16551943762737e-06,-2.76504741810978e-05,TRUE,FALSE,FALSE
0.00610876160750504,0.0101812693458417,0.6,0.00203625386916835,0.00122175232150101,-0.00233984639750944,8.95607241055863e-06,-3.03494084782966e-05,TRUE,FALSE,FALSE
0.00639764395574843,0.0106627399262474,0.6,0.00213254798524948,0.00127952879114969,-0.00244536355956458,9.82316356428588e-06,-3.33128513186971e-05,TRUE,FALSE,FALSE
0.00670018750350959,0.011166979172516,0.6,0.0022333958345032,0.00134003750070192,-0.00255537357756443,1.07742030197247e-05,-3.65668779579842e-05,TRUE,FALSE,FALSE
0.00701703828670383,0.0116950638111731,0.6,0.00233901276223461,0.00140340765734077,-0.00267004079713412,1.18173183160962e-05,-4.01401554060241e-05,TRUE,FALSE,FALSE
0.00734887289218039,0.0122481214869673,0.6,0.00244962429739346,0.00146977457843608,-0.00278953267691265,1.29614238685017e-05,-4.40642029184434e-05,TRUE,FALSE,FALSE
0.00769639990247116,0.0128273331707853,0.6,0.00256546663415705,0.00153927998049423,-0.00291401948471414,1.42162971501019e-05,-4.83736790431141e-05,TRUE,FALSE,FALSE
0.00806036140886135,0.0134339356814356,0.6,0.00268678713628712,0.00161207228177227,-0.00304367393565159,1.55926622499507e-05,-5.31066979732381e-05,TRUE,FALSE,FALSE
