"theta","interaction_resource","knife_edge_size","fish_level","frac_up","frac_down","rel_diff"
0.3,5,15,20,1.0377963633952,1.1380031910881,0.0880549619523363
0.3,5,10,50,1.57591497908308,1.72747904919652,0.0877371393788741
0.7,3,5,30,0.386701587572541,0.423485445688163,0.0868597929164917
0,1,10,100,0.402503233940404,0.367779080474695,0.0862704955827768
1,1,5,50,0.0370747230343421,0.0342877480084957,0.0751718367056942
0.7,5,5,100,0.182321225392053,0.168758523083036,0.0743890475716833
0.3,2,15,10,0.962785438339404,0.896487346234097,0.0688607133689692
0.3,1,5,50,0.0869895392740679,0.0810090855499493,0.0687491136753429
0,2,10,50,0.932300819769261,0.996357169008815,0.0642905488433207
0.7,1,5,50,0.0462106905811227,0.0433158017062112,0.062645436337497
0,5,5,50,0.159743934848796,0.170323518540789,0.0621146379703247
0.3,5,5,100,0.283734348683324,0.266376295693158,0.0611771294900192
0.3,5,15,30,1.05753934372692,1.12195820412337,0.0574164529121501
0.3,3,15,10,1.01562354715799,1.0764783279954,0.0565313571623247
0.7,1,10,10,1.00543250061055,0.950025975597149,0.0551071553582716
0.3,1,10,10,1.19967504743991,1.13610882962592,0.0529861965118299
0.3,1,15,10,1.02771517430854,0.9736541620482,0.0526031079542179
