"body","rates","resource_decrease","capacity_mult","effort","spectral_radius","stable","hopf_period","bifurcation_type","error"
"cod","anchovy",0.00562341325190349,20,0,0.71164420473694,TRUE,507.724627708034,"stable",NA
"anchovy","cod",0.00562341325190349,20,0,0.999999999479592,TRUE,415515217.423186,"stable",NA
"cod","cod",0.00562341325190349,20,0,0.999999999874435,TRUE,514221496.235221,"stable",NA
"anchovy","anchovy",0.0316227766016838,20,0,0.398139908612029,TRUE,23.244274918849,"stable",NA
"cod","anchovy",0.0316227766016838,20,0,0.71164420473694,TRUE,354.257342843071,"stable",NA
"anchovy","cod",0.0316227766016838,20,0,0.999999999428111,TRUE,440183532.143919,"stable",NA
"cod","cod",0.0316227766016838,20,0,0.999999999874435,TRUE,624572510.443447,"stable",NA
"anchovy","anchovy",0.177827941003892,20,0,0.351067714274064,TRUE,100.89063926466,"stable",NA
"cod","anchovy",0.177827941003892,20,0,0.71164420473694,TRUE,420.061505614069,"stable",NA
"anchovy","cod",0.177827941003892,20,0,0.999999999445548,TRUE,620403012.06741,"stable",NA
"cod","cod",0.177827941003892,20,0,0.999999999874435,TRUE,602733162.215724,"stable",NA
"anchovy","anchovy",1,20,0,0.351067717181355,TRUE,133.250195231314,"stable",NA
"cod","anchovy",1,20,0,0.71164420473694,TRUE,372.207260815336,"stable",NA
"anchovy","cod",1,20,0,0.999999999517625,TRUE,610511260.018078,"stable",NA
"cod","cod",1,20,0,0.99999999987499,TRUE,510495099.593619,"stable",NA
