"t","total_biomass","on_frac","schedule","rel_amplitude"
29,0.714740941157042,0.0255310860063323,"Threshold (peaks)",1.12828607154077
29.2,0.724645303691262,0.0242389411992846,"Threshold (peaks)",1.12828607154077
29.4,0.732906603828083,0.0230287799103787,"Threshold (peaks)",1.12828607154077
29.6,0.739809878720912,0.0218794059364227,"Threshold (peaks)",1.12828607154077
29.8,0.745582263351398,0.0207762775234943,"Threshold (peaks)",1.12828607154077
30,0.750405029099598,0.0197090759755933,"Threshold (peaks)",1.12828607154077
30.2,0.754424576285308,0.0186703038060886,"Threshold (peaks)",1.12828607154077
30.4,0.757763568676308,0.0176543955598191,"Threshold (peaks)",1.12828607154077
30.6,0.760516995267173,0.0166572514602132,"Threshold (peaks)",1.12828607154077
30.8,0.762765893220593,0.0156759623876278,"Threshold (peaks)",1.12828607154077
31,0.764584576850999,0.0147085235138053,"Threshold (peaks)",1.12828607154077
31.2,0.766021310768555,0.0137538719818509,"Threshold (peaks)",1.12828607154077
31.4,0.767125123794935,0.0128118759686424,"Threshold (peaks)",1.12828607154077
31.6,0.767947576866866,0.0118831671219132,"Threshold (peaks)",1.12828607154077
31.8,0.768509976415399,0.010969347340451,"Threshold (peaks)",1.12828607154077
32,0.768843195165963,0.0100730216871836,"Threshold (peaks)",1.12828607154077
32.2,0.768989269733396,0.00919757085637377,"Threshold (peaks)",1.12828607154077
32.4,0.768954506774746,0.00834727287381162,"Threshold (peaks)",1.12828607154077
32.6,0.768755032651912,0.00752721450397378,"Threshold (peaks)",1.12828607154077
32.8,0.768429870646053,0.00674283086280731,"Threshold (peaks)",1.12828607154077
33,0.767979809310004,0.00599971390474661,"Threshold (peaks)",1.12828607154077
33.2,0.767405301111925,0.00530332678334522,"Threshold (peaks)",1.12828607154077
33.4,0.766742535121853,0.00465837955565964,"Threshold (peaks)",1.12828607154077
33.6,0.765995819910288,0.00406846521264491,"Threshold (peaks)",1.12828607154077
33.8,0.765150139399564,0.00353588060986641,"Threshold (peaks)",1.12828607154077
34,0.764232880072042,0.00306132069932511,"Threshold (peaks)",1.12828607154077
34.2,0.763258625778886,0.0026438159985627,"Threshold (peaks)",1.12828607154077
34.4,0.762202589045462,0.00228099468978437,"Threshold (peaks)",1.12828607154077
34.6,0.761074446766935,0.00196932266944638,"Threshold (peaks)",1.12828607154077
34.8,0.75989903167895,0.00170437661812421,"Threshold (peaks)",1.12828607154077
35,0.758653510471204,0.00148127464501441,"Threshold (peaks)",1.12828607154077
35.2,0.757324730951697,0.00129504815470964,"Threshold (peaks)",1.12828607154077
35.4,0.755938652270693,0.00114086531005625,"Threshold (peaks)",1.12828607154077
35.6,0.754486869990773,0.00101423726916939,"Threshold (peaks)",1.12828607154077
35.8,0.752938454817387,0.000911189009319378,"Threshold (peaks)",1.12828607154077
36,0.75130655786066,0.000828311001108447,"Threshold (peaks)",1.12828607154077
36.2,0.749601504662094,0.000762760492804645,"Threshold (peaks)",1.12828607154077
36.4,0.747789663751269,0.000712277193186364,"Threshold (peaks)",1.12828607154077
36.6,0.745861834030475,0.000675177435156901,"Threshold (peaks)",1.12828607154077
36.8,0.743838191547182,0.000650333167872715,"Threshold (peaks)",1.12828607154077
37,0.741698650749934,0.000637189242151981,"Threshold (peaks)",1.12828607154077
37.2,0.739413578414591,0.000635820205034143,"Threshold (peaks)",1.12828607154077
37.4,0.736995908481621,0.000647034613639398,"Threshold (peaks)",1.12828607154077
37.6,0.734444802411183,0.000672594517951081,"Threshold (peaks)",1.12828607154077
37.8,0.731722290874168,0.00071559081444825,"Threshold (peaks)",1.12828607154077
38,0.728819713375149,0.000781042388764062,"Threshold (peaks)",1.12828607154077
38.2,0.725745723752816,0.000876991111575559,"Threshold (peaks)",1.12828607154077
38.4,0.722466325678863,0.00101650987795849,"Threshold (peaks)",1.12828607154077
38.6,0.718945968689965,0.00122119727464097,"Threshold (peaks)",1.12828607154077
38.8,0.715181805671139,0.00152762118740877,"Threshold (peaks)",1.12828607154077
39,0.711142361283941,0.00200015988602208,"Threshold (peaks)",1.12828607154077
39.2,0.706760531923592,0.00275659106971148,"Threshold (peaks)",1.12828607154077
39.4,0.701986758484636,0.00401789910629967,"Threshold (peaks)",1.12828607154077
39.6,0.696747778239629,0.00620254882648965,"Threshold (peaks)",1.12828607154077
39.8,0.690882444538836,0.0100803555202845,"Threshold (peaks)",1.12828607154077
40,0.684160205075807,0.016892942590818,"Threshold (peaks)",1.12828607154077
40.2,0.676264506259447,0.0280318329226603,"Threshold (peaks)",1.12828607154077
40.4,0.666772483676237,0.044041004238414,"Threshold (peaks)",1.12828607154077
40.6,0.655279141479489,0.064530595824832,"Threshold (peaks)",1.12828607154077
40.8,0.641439793179464,0.0897678347531375,"Threshold (peaks)",1.12828607154077
41,0.624800561500476,0.121101065228718,"Threshold (peaks)",1.12828607154077
41.2,0.604711656696295,0.160353342742521,"Threshold (peaks)",1.12828607154077
41.4,0.580347104627403,0.209913936306519,"Threshold (peaks)",1.12828607154077
41.6,0.550609728206207,0.273134404149755,"Threshold (peaks)",1.12828607154077
41.8,0.514010753210023,0.354505321705855,"Threshold (peaks)",1.12828607154077
42,0.468665718817051,0.459577877457951,"Threshold (peaks)",1.12828607154077
42.2,0.41236913651625,0.593206259060079,"Threshold (peaks)",1.12828607154077
42.4,0.343524467124423,0.749009732334159,"Threshold (peaks)",1.12828607154077
42.6,0.266691399692216,0.863709970699337,"Threshold (peaks)",1.12828607154077
42.8,0.214283042513478,0.715014304542675,"Threshold (peaks)",1.12828607154077
43,0.252064850065929,0.312421593599509,"Threshold (peaks)",1.12828607154077
43.2,0.347159946691465,0.153088383722377,"Threshold (peaks)",1.12828607154077
43.4,0.432927585380655,0.0864710360224708,"Threshold (peaks)",1.12828607154077
43.6,0.499449485092713,0.0588917140254371,"Threshold (peaks)",1.12828607154077
43.8,0.551547291267891,0.0462201764101975,"Threshold (peaks)",1.12828607154077
44,0.592645281049929,0.0395088045508208,"Threshold (peaks)",1.12828607154077
20.2,0.836170109561488,2.35408380167506e-10,"Threshold (troughs)",0.762595394719336
20.4,0.808784229018536,2.90553543585146e-07,"Threshold (troughs)",0.762595394719336
20.6,0.787284017459347,6.92954402286924e-05,"Threshold (troughs)",0.762595394719336
20.8,0.770252762230186,0.00463806524124092,"Threshold (troughs)",0.762595394719336
21,0.746736514866746,0.640358270423857,"Threshold (troughs)",0.762595394719336
21.2,0.690898508401944,0.99999978442765,"Threshold (troughs)",0.762595394719336
21.4,0.680074376828825,0.999999976866351,"Threshold (troughs)",0.762595394719336
21.6,0.676042358227829,0.999999981946861,"Threshold (troughs)",0.762595394719336
21.8,0.672600998996266,0.999999981628258,"Threshold (troughs)",0.762595394719336
22,0.668876790193477,0.999999980670915,"Threshold (troughs)",0.762595394719336
22.2,0.664713014127171,0.999999979532974,"Threshold (troughs)",0.762595394719336
22.4,0.660035804588134,0.999999978198337,"Threshold (troughs)",0.762595394719336
22.6,0.654824080802528,0.999999976564793,"Threshold (troughs)",0.762595394719336
22.8,0.649033813527181,0.999999974489288,"Threshold (troughs)",0.762595394719336
23,0.642579789690679,0.999999971758938,"Threshold (troughs)",0.762595394719336
23.2,0.635392241143787,0.999999968030683,"Threshold (troughs)",0.762595394719336
23.4,0.627363535723445,0.999999962759101,"Threshold (troughs)",0.762595394719336
23.6,0.618318987794101,0.999999955022269,"Threshold (troughs)",0.762595394719336
23.8,0.608067420590149,0.999999943059182,"Threshold (troughs)",0.762595394719336
24,0.596344286538725,0.999999923247305,"Threshold (troughs)",0.762595394719336
24.2,0.582766593952406,0.999999887635427,"Threshold (troughs)",0.762595394719336
24.4,0.566861564841206,0.999999816430406,"Threshold (troughs)",0.762595394719336
24.6,0.547975790163518,0.999999650843504,"Threshold (troughs)",0.762595394719336
24.8,0.525189071268724,0.999999176887751,"Threshold (troughs)",0.762595394719336
25,0.497278241268369,0.999997383259491,"Threshold (troughs)",0.762595394719336
25.2,0.46257324105461,0.999987332609273,"Threshold (troughs)",0.762595394719336
25.4,0.418879055758014,0.999887556890165,"Threshold (troughs)",0.762595394719336
25.6,0.363633742430584,0.997694317492597,"Threshold (troughs)",0.762595394719336
25.8,0.297635990786665,0.851205792135957,"Threshold (troughs)",0.762595394719336
26,0.308376945530333,9.7608082761033e-10,"Threshold (troughs)",0.762595394719336
26.2,0.336386861491483,3.78063337903913e-14,"Threshold (troughs)",0.762595394719336
26.4,0.373144277742525,6.27487622864949e-14,"Threshold (troughs)",0.762595394719336
26.6,0.417895864293549,5.61085242777339e-12,"Threshold (troughs)",0.762595394719336
26.8,0.462587461991434,1.21776621142211e-09,"Threshold (troughs)",0.762595394719336
27,0.50178857213709,1.86183061244354e-07,"Threshold (troughs)",0.762595394719336
27.2,0.534750179590097,1.34265018772518e-05,"Threshold (troughs)",0.762595394719336
27.4,0.562565569621133,0.000435586345125723,"Threshold (troughs)",0.762595394719336
27.6,0.586041619775745,0.00744005027949054,"Threshold (troughs)",0.762595394719336
27.8,0.600174203538475,0.274639571082253,"Threshold (troughs)",0.762595394719336
28,0.568733278117201,0.999999394898754,"Threshold (troughs)",0.762595394719336
28.2,0.579718520300915,0.99999995494244,"Threshold (troughs)",0.762595394719336
28.4,0.595763100098615,0.999999966196514,"Threshold (troughs)",0.762595394719336
28.6,0.609855832607959,0.999999966933074,"Threshold (troughs)",0.762595394719336
28.8,0.621435947431803,0.999999967155719,"Threshold (troughs)",0.762595394719336
29,0.630771270487633,0.999999967595457,"Threshold (troughs)",0.762595394719336
29.2,0.638195289992978,0.999999968236422,"Threshold (troughs)",0.762595394719336
29.4,0.644016986235384,0.99999996902486,"Threshold (troughs)",0.762595394719336
29.6,0.648508877219263,0.999999969914971,"Threshold (troughs)",0.762595394719336
29.8,0.651905070620079,0.999999970867693,"Threshold (troughs)",0.762595394719336
30,0.654401152292128,0.999999971849892,"Threshold (troughs)",0.762595394719336
30.2,0.656159068291151,0.999999972834063,"Threshold (troughs)",0.762595394719336
30.4,0.65731189442538,0.999999973797822,"Threshold (troughs)",0.762595394719336
30.6,0.657962617921776,0.999999974723071,"Threshold (troughs)",0.762595394719336
30.8,0.658195033027998,0.999999975595201,"Threshold (troughs)",0.762595394719336
31,0.658076981864589,0.99999997640237,"Threshold (troughs)",0.762595394719336
31.2,0.657651873083545,0.999999977134565,"Threshold (troughs)",0.762595394719336
31.4,0.656957807394756,0.999999977783242,"Threshold (troughs)",0.762595394719336
31.6,0.656023321107192,0.999999978340798,"Threshold (troughs)",0.762595394719336
31.8,0.654853951411684,0.999999978799361,"Threshold (troughs)",0.762595394719336
32,0.653461325183524,0.999999979151002,"Threshold (troughs)",0.762595394719336
32.2,0.651847427824679,0.999999979387375,"Threshold (troughs)",0.762595394719336
32.4,0.649991751843278,0.999999979497154,"Threshold (troughs)",0.762595394719336
32.6,0.647888110952995,0.99999997946621,"Threshold (troughs)",0.762595394719336
32.8,0.645516949730996,0.99999997927763,"Threshold (troughs)",0.762595394719336
