"t","total","selected","juvenile","knife_edge_size","fish_level"
31.4,0.521738975246886,0.00118099998580323,0.520557975261082,10,30
31.6,0.516207847216293,0.00112962569516601,0.515078221521127,10,30
31.8,0.509112397488121,0.00107587579890099,0.50803652168922,10,30
32,0.500622550565148,0.00102072061347372,0.499601829951674,10,30
32.2,0.490866862011141,0.000965156797447361,0.489901705213694,10,30
32.4,0.479942665281271,0.000910290115739287,0.479032375165532,10,30
32.6,0.467918656431536,0.000857343147923472,0.467061313283612,10,30
32.8,0.454840136474212,0.000807620429441167,0.454032516044771,10,30
33,0.4407299578369,0.00076248646457074,0.43996747137233,10,30
33.2,0.425589848980617,0.000723347633352357,0.424866501347265,10,30
33.4,0.409400440635319,0.00069181639962315,0.408708624235696,10,30
33.6,0.392117238431702,0.000670086192418502,0.391447152239284,10,30
33.8,0.373662118852353,0.000661793894076957,0.373000324958276,10,30
34,0.35390467647978,0.000673962508263119,0.353230713971517,10,30
34.2,0.332624514376085,0.000721799050464488,0.331902715325621,10,30
34.4,0.309429392756318,0.000842449182834334,0.308586943573484,10,30
34.6,0.283546154038049,0.0011415272315856,0.282404626806463,10,30
34.8,0.253157599634847,0.00197807118989726,0.251179528444949,10,30
35,0.21287301588029,0.00474362634803991,0.20812938953225,10,30
35.2,0.145329096042948,0.0135121395689606,0.131816956473987,10,30
35.4,0.0405410830510963,0.0156048200422451,0.0249362630088511,10,30
35.6,0.0382865689687199,0.000603979339977551,0.0376825896287424,10,30
35.8,0.178564329407087,0.000232406075250061,0.178331923331837,10,30
36,0.32744725970685,0.000631288002490645,0.326815971704359,10,30
36.2,0.405938388794682,0.000928177540788298,0.405010211253893,10,30
36.4,0.452401312671601,0.00114117496299465,0.451260137708607,10,30
36.6,0.482380282279299,0.00126538355362049,0.481114898725678,10,30
36.8,0.502077684604229,0.00132464769113513,0.500753036913094,10,30
37,0.514808707422663,0.00134187337173635,0.513466834050927,10,30
37.2,0.522497711957985,0.0013327885797253,0.52116492337826,10,30
37.4,0.526337140777223,0.00130722449064788,0.525029916286575,10,30
37.6,0.527124602484051,0.00127110096024932,0.525853501523802,10,30
37.8,0.525423222165267,0.001227954815147,0.52419526735012,10,30
38,0.521640158429159,0.00117995087674475,0.520460207552414,10,30
38.2,0.51607405032674,0.00112851622288818,0.514945534103852,10,30
38.4,0.508947676416862,0.00107472690635066,0.507872949510511,10,30
38.6,0.500430017269257,0.00101955249823325,0.499410464771024,10,30
38.8,0.490648851766587,0.00096399167738677,0.4896848600892,10,30
39,0.479700897871026,0.00090915220484768,0.478791745666178,10,30
39.2,0.467654337957964,0.000856259593260215,0.466798078364704,10,30
39.4,0.454553951104831,0.000806619112457992,0.453747331992373,10,30
39.6,0.440422170115508,0.000761596366869161,0.439660573748638,10,30
39.8,0.425260269417642,0.000722599969201019,0.424537669448441,10,30
40,0.40904840945375,0.000691249085906519,0.408357160367844,10,30
40.2,0.391741508876738,0.000669756607874166,0.391071752268864,10,30
40.4,0.373260574212237,0.000661805111156217,0.372598769101081,10,30
40.6,0.353473789070213,0.000674524454071078,0.352799264616142,10,30
40.8,0.332158220464301,0.000723389513028933,0.331434830951272,10,30
41,0.30891649497944,0.000846307162551348,0.308070187816889,10,30
41.2,0.28296308665771,0.00115144170358718,0.281811644954123,10,30
41.4,0.252443293556134,0.00200787262880248,0.250435420927331,10,30
41.6,0.211829718377806,0.00484719986522888,0.206982518512578,10,30
41.8,0.143390084113308,0.0137762445069985,0.12961383960631,10,30
42,0.0388069529981737,0.0151916840981181,0.0236152689000555,10,30
42.2,0.0398996471320867,0.000547578177531448,0.0393520689545553,10,30
42.4,0.182351609076378,0.000240208767509594,0.182111400308868,10,30
42.6,0.329673176202808,0.000638443067612017,0.329034733135196,10,30
42.8,0.407157592878813,0.00093361390254311,0.40622397897627,10,30
43,0.453171904786916,0.00114463753512059,0.452027267251795,10,30
43.2,0.482885345371852,0.00126720667825766,0.481618138693594,10,30
43.4,0.502408618582617,0.00132537532118143,0.501083243261435,10,30
43.6,0.515017199907141,0.0013419099683639,0.513675289938777,10,30
43.8,0.52261476982876,0.00133239432122839,0.521282375507532,10,30
44,0.526382814145538,0.0013065578051369,0.525076256340401,10,30
20,0.431021786219296,0.00714306441787082,0.423878721801426,10,100
20.2,0.408479515841523,0.00020879344835971,0.408270722393163,10,100
20.4,0.391773081603941,0.000205707803922752,0.391567373800018,10,100
20.6,0.373720087186769,0.000205669975270475,0.373514417211499,10,100
20.8,0.354221856485829,0.000211868731503356,0.354009987754326,10,100
21,0.333091077758295,0.000229590298228127,0.332861487460067,10,100
