"value","metric","direction","branch"
0.675,27740015.8492593,"Backward","min"
0.7,26329245.9522487,"Backward","min"
0.725,24656912.2659811,"Backward","min"
0.75,22757788.5336323,"Backward","min"
0.775,20683614.1876229,"Backward","min"
0.8,18499834.8682505,"Backward","min"
0.825,16279703.6178119,"Backward","min"
0.85,14096855.1798793,"Backward","min"
0.875,12017829.6963899,"Backward","min"
0.9,10095969.4071777,"Backward","min"
0.925,8367749.24819956,"Backward","min"
0.95,6851978.68425979,"Backward","min"
0.975,5551578.91335715,"Backward","min"
1,4457065.32247424,"Backward","min"
1.025,3550661.61562679,"Backward","min"
1.05,2810145.75721817,"Backward","min"
1.075,2211903.63494468,"Backward","min"
1.1,1733036.51423012,"Backward","min"
1.125,1352614.12099393,"Backward","min"
1.15,1052272.74963312,"Backward","min"
1.175,816369.274819864,"Backward","min"
1.2,631866.602439646,"Backward","min"
1.225,488078.080560383,"Backward","min"
1.25,376354.854859467,"Backward","min"
1.275,289766.849506758,"Backward","min"
1.3,222805.032959553,"Backward","min"
1.325,171117.849911607,"Backward","min"
1.35,131285.821440309,"Backward","min"
1.375,100633.36346295,"Backward","min"
1.4,77074.3968565306,"Backward","min"
1.425,58987.3295175426,"Backward","min"
1.45,45114.8380329749,"Backward","min"
1.475,34484.1638533231,"Backward","min"
1.5,26344.1257100255,"Backward","min"
1.525,20115.5986379779,"Backward","min"
1.55,15352.7458127594,"Backward","min"
1.575,11712.7760040767,"Backward","min"
1.6,8932.42238503875,"Backward","min"
1.625,6809.69557984897,"Backward","min"
1.65,5189.75936225708,"Backward","min"
1.675,3954.01835174179,"Backward","min"
1.7,3011.69918909877,"Backward","min"
1.725,2293.37465336115,"Backward","min"
1.75,1745.97074503361,"Backward","min"
1.775,1328.93804569678,"Backward","min"
1.8,1011.31143249505,"Backward","min"
1.825,769.455400545208,"Backward","min"
1.85,585.336555656181,"Backward","min"
1.875,445.193561644477,"Backward","min"
1.9,338.527026234696,"Backward","min"
1.925,257.317185174896,"Backward","min"
1.95,195.438348104879,"Backward","min"
1.975,148.26991952077,"Backward","min"
2,112.415736925486,"Backward","min"
2.025,85.1989904780309,"Backward","min"
2.05,64.5147533225073,"Backward","min"
2.075,48.7975917881494,"Backward","min"
2.1,36.8803780275765,"Backward","min"
2.125,27.885618520956,"Backward","min"
2.15,21.3317950765756,"Backward","min"
2.175,16.6100208908903,"Backward","min"
2.2,12.9920829559292,"Backward","min"
2.225,9.97480478429388,"Backward","min"
2.25,7.43357231026347,"Backward","min"
2.275,5.63968263632234,"Backward","min"
2.3,4.14450393107602,"Backward","min"
2.325,3.28619234371579,"Backward","min"
2.35,2.37289995196439,"Backward","min"
2.375,1.69492610661791,"Backward","min"
2.4,1.55958838213999,"Backward","min"
2.425,1.19304948942333,"Backward","min"
2.45,0.649489443078815,"Backward","min"
2.475,0.414515854449558,"Backward","min"
2.5,0.385224176898164,"Backward","min"
