"t","total","selected","juvenile","fish_level"
14.6,2.59439548285765e-10,1.52453658941472e-16,2.59439395832106e-10,5
14.8,2.49093824844401e-10,1.36368027179101e-16,2.49093688476374e-10,5
15,2.391748078831e-10,1.22107189462031e-16,2.3917468577591e-10,5
15.2,2.29664186165859e-10,1.09449527323173e-16,2.29664076716331e-10,5
15.4,2.20544473726364e-10,9.82021099647914e-17,2.20544375524254e-10,5
15.6,2.11798970169644e-10,8.81967575013031e-17,2.11798881972887e-10,5
15.8,2.03411723068546e-10,7.92866721293289e-17,2.03411643781874e-10,5
16,1.95367492328727e-10,7.13435524858827e-17,1.95367420985174e-10,5
16.2,1.87651716404967e-10,6.42551190592005e-17,1.87651652149848e-10,5
16.4,1.80250480259888e-10,5.79229894297494e-17,1.80250422336898e-10,5
16.6,1.73150484963766e-10,5.22608514692688e-17,1.73150432702915e-10,5
16.8,1.66339018841041e-10,4.71928905787843e-17,1.6633897164815e-10,5
17,1.59803930075498e-10,4.26524337792364e-17,1.59803887423064e-10,5
17.2,1.53533600691944e-10,3.85807791519925e-17,1.53533562111164e-10,5
17.4,1.47516921837555e-10,3.4926183917809e-17,1.47516886911371e-10,5
17.6,1.41743270291047e-10,3.16429884801847e-17,1.41743238648059e-10,5
17.8,1.36202486132382e-10,2.86908571620222e-17,1.36202457441524e-10,5
18,1.30884851509927e-10,2.60341192348176e-17,1.30884825475808e-10,5
18.2,1.25781070445945e-10,2.36411962630645e-17,1.25781046804749e-10,5
18.4,1.20882249624849e-10,2.14841038351935e-17,1.20882228140745e-10,5
18.6,1.16179880112076e-10,1.95380174864238e-17,1.16179860574059e-10,5
18.8,1.11665819954512e-10,1.77808940887017e-17,1.11665802173618e-10,5
19,1.07332277616343e-10,1.61931412304715e-17,1.07332261423202e-10,5
19.2,1.03171796206881e-10,1.47573281694602e-17,1.03171781449553e-10,5
19.4,9.9177238459449e-11,1.34579328443196e-17,9.91772250015161e-11,5
19.6,9.53417724227596e-11,1.22811202003936e-17,9.53417601416394e-11,5
19.8,9.16588578284207e-11,1.12145477416578e-17,9.16588466138729e-11,5
20,8.81222331002436e-11,1.02471947822574e-17,8.81222228530489e-11,5
20.2,8.47258982121858e-11,4.64685762581528e-18,8.47258935653282e-11,5
20.4,8.14641212374934e-11,3.36961748305494e-18,8.1464117867876e-11,5
20.6,7.83314011123471e-11,2.92788340257054e-18,7.83313981844637e-11,5
20.8,7.53224722262479e-11,2.6561372443003e-18,7.53224695701107e-11,5
21,7.24322918563698e-11,2.43138867094696e-18,7.24322894249811e-11,5
21.2,6.96560299141895e-11,2.23041857885099e-18,6.9656027683771e-11,5
21.4,6.69890595313937e-11,2.04779155898809e-18,6.69890574836022e-11,5
21.6,6.44269481577821e-11,1.88125800706618e-18,6.44269462765240e-11,5
21.8,6.19654490838662e-11,1.72923095943225e-18,6.19654473546352e-11,5
22,5.96004933532915e-11,1.59035161188499e-18,5.96004917629398e-11,5
22.2,5.73281820430103e-11,1.46340620461997e-18,5.73281805796041e-11,5
22.4,5.51447788929638e-11,1.34730152229364e-18,5.51447775456623e-11,5
22.6,5.30467032686081e-11,1.24105094773517e-18,5.30467020275572e-11,5
22.8,5.103052344059e-11,1.14376326263061e-18,5.10305222968267e-11,5
23,4.90929501666587e-11,1.05463285187173e-18,4.90929491120259e-11,5
23.2,4.72308305616166e-11,9.72930994076928e-19,4.72308295886856e-11,5
23.4,4.5441142241794e-11,8.97998091223585e-19,4.54411413437959e-11,5
23.6,4.37209877311884e-11,8.29236727767609e-19,4.37209869019517e-11,5
23.8,4.20675891170318e-11,7.66105465573843e-19,4.20675883509263e-11,5
24,4.047828294315e-11,7.08113292459773e-19,4.04782822350367e-11,5
24.2,3.89505153300475e-11,6.54814651853089e-19,3.89505146752328e-11,5
24.4,3.74818373111903e-11,6.0580498951832e-19,3.74818367053853e-11,5
24.6,3.60699003754768e-11,5.60716760722657e-19,3.606989981476e-11,5
24.8,3.47124522063715e-11,5.19215847725458e-19,3.47124516871557e-11,5
25,3.34073326086438e-11,4.80998343204815e-19,3.34073321276454e-11,5
25.2,3.21524696140872e-11,4.45787660277044e-19,3.21524691682995e-11,5
