"fish_level","mean_total","min_total","mean_selected","mean_juvenile","mean_yield","rel_amplitude","knife_edge_size","theta","interaction_resource","total_unfished_ref","fraction_of_unfished"
50,0.359046818638126,0.0228389319858777,0.00123722083327054,0.357809597804855,0.0618610416635268,1.82107018416768,10,1,1,0.380343926737546,0.944005657505567
70,0.333695114843026,0.0220395846808534,0.000915839989248631,0.332779274853778,0.0641087992474042,1.81963918833691,10,1,1,0.380343926737546,0.87735097469636
85,0.313351758985622,0.0175038564945325,0.0010822957649463,0.312269463220675,0.0919951400204355,1.8522109216067,10,1,1,0.380343926737546,0.823864236964268
100,0.293206218378479,0.0268512394271142,0.000981857423691942,0.292224360954787,0.0981857423691942,1.77419883532832,10,1,1,0.380343926737546,0.770897594957009
1,0.381659519303739,0.089725564025307,0.0176206575068622,0.364038861796876,0.00330901571057121,1.44224452891757,15,1,1,0.380343926737546,1.00345895510276
5,0.386140666234752,0.0836199343736056,0.0158539072124617,0.37028675902229,0.00999137010111982,1.48007063475364,15,1,1,0.380343926737546,1.01524078364266
9,0.390632149888177,0.0922488215191896,0.0150853566585816,0.375546793229595,0.0127923366080903,1.44756899901978,15,1,1,0.380343926737546,1.02704978948627
20,0.39788302385236,0.0744713460079038,0.0143562936321654,0.383526730220194,0.0157850785763883,1.55152116187809,15,1,1,0.380343926737546,1.04611378250537
50,0.403424924094461,0.0712247974342004,0.0139290042396714,0.38949591985479,0.0177757989293285,1.57339987548335,15,1,1,0.380343926737546,1.06068454294747
70,0.40455065171264,0.0691332603729566,0.0138411036904736,0.390709548022166,0.0182128849082961,1.5853560555359,15,1,1,0.380343926737546,1.0636443052548
85,0.405043229540591,0.0690602161926598,0.013801162224881,0.39124206731571,0.0184076820453293,1.58605525169938,15,1,1,0.380343926737546,1.06493939055346
100,0.405384974469999,0.0692575738455353,0.0137727009538847,0.391612273516114,0.018544840920843,1.58520387317869,15,1,1,0.380343926737546,1.06583790609527
1,0.326345367916339,0.108016484332852,0.012954042248292,0.313391325668047,0.0624108892697048,1.20695652237676,3,1,1.3,0.299321854197908,1.09028246130188
5,0.399613692376911,0.0435518721564185,0.00249332892537242,0.397120363451539,0.119922995497399,1.69056337246256,3,1,1.3,0.299321854197908,1.3350635336927
9,0.411978835499663,0.19804458230264,0.000158127069221787,0.411820708430441,0.0771917354363273,0.82415998691289,3,1,1.3,0.299321854197908,1.37637405930029
20,0.112051232399544,0.0033296344189263,0.000255828053616427,0.111795404345927,0.303343725079337,1.93642786159554,3,1,1.3,0.299321854197908,0.374350321662303
50,1.81947090515284e-06,1.89303593594482e-08,3.25785831864602e-09,1.81621304683419e-06,1.90582835998444e-05,1.99334591284525,3,1,1.3,0.299321854197908,6.0786437062154e-06
70,4.19357321550599e-13,5.02596258141705e-21,1.71717831054231e-16,4.19185603719545e-13,5.55047877741325e-12,1.99999999701502,3,1,1.3,0.299321854197908,1.40102473531159e-12
85,4.16829763261185e-17,6.64095959124991e-29,6.0981225678691e-21,4.16768782035506e-17,6.23490140540938e-16,1.99999999999968,3,1,1.3,0.299321854197908,1.39258045283116e-16
100,1.69296767329675e-20,1.17903279197786e-35,9.36821858823366e-25,1.69287399111087e-20,2.77694347224458e-19,2,3,1,1.3,0.299321854197908,5.65601091117584e-20
1,0.341950133807811,0.103583633123929,0.0126731785474128,0.329276955260398,0.0349352633276305,1.24591351476128,5,1,1.3,0.299321854197908,1.14241619518272
5,0.370928796062404,0.0546441562954599,0.00361068791071642,0.367318108151687,0.0853739660378705,1.61957246025985,5,1,1.3,0.299321854197908,1.23923058360166
9,0.371784608368679,0.0376977313436347,0.00133474282764751,0.370449865541031,0.0966670481871956,1.71986929234838,5,1,1.3,0.299321854197908,1.24208975440483
