"rel_amplitude","mean_yield","window","fish_level","schedule","mean_effort","resource_decrease","n_peaks","n_troughs"
1.36826230068013,8.62660200761986e-06,3,0.2,"Peaks only",0.151297405189621,0.00153859283780628,45,44
1.48416856948281,7.78711293194335e-06,3,0.2,"Troughs only",0.186826347305389,0.00153859283780628,45,44
1.46916786403934,1.00512002244167e-05,0.5,0.6,"Peaks only",0.161676646706587,0.00153859283780628,45,44
1.49407064901611,6.16794806627913e-06,0.5,0.6,"Troughs only",0.158083832335329,0.00153859283780628,45,44
1.67450986183603,8.88563612191902e-06,1.5,0.6,"Peaks only",0.31497005988024,0.00153859283780628,45,44
1.55465029165976,1.46362175975512e-05,1.5,0.6,"Troughs only",0.364071856287425,0.00153859283780628,45,44
1.27767749561872,2.26401850866824e-05,3,0.6,"Peaks only",0.453892215568862,0.00153859283780628,45,44
1.50055033645669,2.18099629237194e-05,3,0.6,"Troughs only",0.560479041916168,0.00153859283780628,45,44
1.54607436427236,1.43167403106832e-05,0.5,1,"Peaks only",0.269461077844311,0.00153859283780628,45,44
1.51341113190632,9.8034572205198e-06,0.5,1,"Troughs only",0.263473053892216,0.00153859283780628,45,44
1.57917243484262,2.10286794960941e-05,1.5,1,"Peaks only",0.524950099800399,0.00153859283780628,45,44
1.57433797183158,2.45357791357197e-05,1.5,1,"Troughs only",0.606786427145709,0.00153859283780628,45,44
1.50210830563777,2.85982386236732e-05,3,1,"Peaks only",0.756487025948104,0.00153859283780628,45,44
1.44853711755275,3.44621049049531e-05,3,1,"Troughs only",0.934131736526946,0.00153859283780628,45,44
1.35181150857818,8.62976164361886e-06,NA,0.2,"Constant",0.2,0.00203780269369432,45,45
1.37868029749216,2.27113015294713e-05,NA,0.6,"Constant",0.6,0.00203780269369432,45,45
1.35141478687185,3.29028178384293e-05,NA,1,"Constant",1,0.00203780269369432,45,45
1.26477796482255,3.19629135514679e-06,0.5,0.2,"Peaks only",0.0538922155688623,0.00203780269369432,45,45
1.37028489457103,1.49693288259401e-06,0.5,0.2,"Troughs only",0.0538922155688623,0.00203780269369432,45,45
1.27740433516686,5.31846150289911e-06,1.5,0.2,"Peaks only",0.100998003992016,0.00203780269369432,45,45
1.38570205477378,4.77278492385538e-06,1.5,0.2,"Troughs only",0.118562874251497,0.00203780269369432,45,45
1.25046507184233,6.87914626213995e-06,3,0.2,"Peaks only",0.147305389221557,0.00203780269369432,45,45
1.38008334200423,8.06778808475281e-06,3,0.2,"Troughs only",0.187624750499002,0.00203780269369432,45,45
1.40130858589308,7.74560629831077e-06,0.5,0.6,"Peaks only",0.161676646706587,0.00203780269369432,45,45
1.38056312897353,6.45222292768899e-06,0.5,0.6,"Troughs only",0.161676646706587,0.00203780269369432,45,45
1.44779760036263,1.1621230871755e-05,1.5,0.6,"Peaks only",0.302994011976048,0.00203780269369432,45,45
1.47957779874075,1.3931140254187e-05,1.5,0.6,"Troughs only",0.355688622754491,0.00203780269369432,45,45
1.2021732680941,1.81779920783103e-05,3,0.6,"Peaks only",0.441916167664671,0.00203780269369432,45,45
1.39091265913273,2.19608659577199e-05,3,0.6,"Troughs only",0.562874251497006,0.00203780269369432,45,45
1.47359283873741,1.21895755525696e-05,0.5,1,"Peaks only",0.269461077844311,0.00203780269369432,45,45
1.39989915036708,1.03065023181875e-05,0.5,1,"Troughs only",0.269461077844311,0.00203780269369432,45,45
1.51335603130625,1.79636248323428e-05,1.5,1,"Peaks only",0.50499001996008,0.00203780269369432,45,45
