"t","fish_level","selected","total"
26.6,20,0.0038098464003642,0.366360927583888
26.8,20,0.00297704068975436,0.41875390791757
27,20,0.00257800016807293,0.453996753492275
27.2,20,0.00233747804650433,0.478461975762241
27.4,20,0.00217077950432083,0.495419151295856
27.6,20,0.0020438281347493,0.506768682566728
27.8,20,0.00193974671598941,0.513703324578832
28,20,0.00184910688815251,0.517041519523253
28.2,20,0.00176629432890865,0.517392144560902
28.4,20,0.0016878600347901,0.515227464788466
28.6,20,0.00161168846051401,0.51091812150225
28.8,20,0.00153655892557555,0.504756611935173
29,20,0.00146191255596404,0.496975429659017
29.2,20,0.00138774419282659,0.487760636501392
29.4,20,0.00131454045674633,0.477260298433125
29.6,20,0.00124326925775585,0.465591048649147
29.8,20,0.00117533336307443,0.452840286400282
30,20,0.00111255299858851,0.439069342605766
30.2,20,0.00105716057181631,0.424313787439531
30.4,20,0.00101190770738641,0.408584243798169
30.6,20,0.000980491501657124,0.391865225494762
30.8,20,0.000968579035580398,0.374110914665037
31,20,0.000986249084790558,0.355235596043474
31.2,20,0.00105394936679773,0.335092510323107
31.4,20,0.00121855525089765,0.313427620705472
31.6,20,0.00160243105740174,0.289766328379814
31.8,20,0.00257038266148972,0.263087186316134
32,20,0.00528950313225615,0.230794285575634
20.2,100,0.000446064430445421,0.289487806651544
20.4,100,0.00073535852000683,0.267794562704805
20.6,100,0.00133628511205538,0.241252509694442
20.8,100,0.00241852575707596,0.206877179273572
21,100,0.0034225115321533,0.16839402597653
21.2,100,0.00325503553901561,0.151157477527045
21.4,100,0.00275896831442873,0.174484362347168
21.6,100,0.00165541271092827,0.235979829467097
21.8,100,0.000988617661800542,0.300281723243505
22,100,0.000717567014460189,0.344121689356926
22.2,100,0.0005914033227553,0.371921966388211
22.4,100,0.000515727219152597,0.388889404588188
22.6,100,0.000462410600942837,0.397855506009397
22.8,100,0.000421549770378241,0.400608202304266
23,100,0.000388757987285903,0.398405972221254
23.2,100,0.000361874667982802,0.392174187737896
23.4,100,0.000340000236791582,0.38260706116688
23.6,100,0.00032329290231181,0.370226140572192
23.8,100,0.000313222434172515,0.355408203945419
24,100,0.000313474019675919,0.33838691084967
24.2,100,0.000332429755214002,0.319224103643447
24.4,100,0.000390466090377524,0.297723483921163
24.6,100,0.000543944624551818,0.273179439306042
24.8,100,0.000969434313850066,0.24356153886094
25,100,0.00220690468456917,0.202961610395815
25.2,100,0.00477932155822216,0.139895108121255
25.4,100,0.00346859232669011,0.0923919640406979
25.6,100,0.00158286773870556,0.160147054105234
25.8,100,0.001123792362511,0.27238130217868
26,100,0.000773610424847195,0.349328900141141
26.2,100,0.00061875919336174,0.394717824395029
26.4,100,0.000535772406358145,0.423726313399867
26.6,100,0.000481359174103086,0.44246312686506
26.8,100,0.000441378315603476,0.453858166614652
27,100,0.000409574099955312,0.459651324247001
27.2,100,0.000382684083464462,0.461008129164874
27.4,100,0.000358880060194125,0.458765695924381
27.6,100,0.000337130657159926,0.453547875292399
27.8,100,0.000316901902109514,0.445829673742729
28,100,0.00029801172046478,0.435977043106664
28.2,100,0.000280567147137114,0.424271341306816
28.4,100,0.000264959512293321,0.41092335353997
28.6,100,0.000251915493915547,0.396079941844063
28.8,100,0.000242643851061172,0.379825033624531
29,100,0.000239197233334669,0.36217440772364
29.2,100,0.000245390087583243,0.343060839212039
29.4,100,0.000269310434466103,0.322297744002931
29.6,100,0.000330942015856229,0.299484702509705
29.8,100,0.000488317982125567,0.273728070330924
30,100,0.000935265839470507,0.242692337218791
30.2,100,0.00230999739106375,0.199401170096484
30.4,100,0.00520811712461419,0.129506479350039
30.6,100,0.00295572392442774,0.0834744635649823
30.8,100,0.00135254682258301,0.16738893243872
31,100,0.00100460374876173,0.285779737342293
31.2,100,0.000719866992440247,0.361037452645164
31.4,100,0.000593709398583784,0.405172473093424
31.6,100,0.000523250544147331,0.433544722059668
31.8,100,0.00047570621702619,0.451994739101215
32,100,0.000439927288156327,0.463357541139588
